Year,Units,country of citizenship,Value
2010,percentage,,0.48
2011,percentage,,0.47
2012,percentage,,0.5
2013,percentage,,0.51
2014,percentage,,0.57
2015,percentage,,0.67
2016,percentage,,1.05
2017,percentage,,1.39
2018,percentage,,1.55
2019,percentage,,1.64
2020,percentage,,1.68
2021,percentage,,1.74
2010,percentage,afghanistan,0.03
2011,percentage,afghanistan,0.03
2012,percentage,afghanistan,0.03
2013,percentage,afghanistan,0.04
2014,percentage,afghanistan,0.04
2015,percentage,afghanistan,0.04
2016,percentage,afghanistan,0.06
2017,percentage,afghanistan,0.13
2018,percentage,afghanistan,0.16
2019,percentage,afghanistan,0.17
2020,percentage,afghanistan,0.18
2021,percentage,afghanistan,0.2
2010,percentage,iraq,0.05
2011,percentage,iraq,0.05
2012,percentage,iraq,0.05
2013,percentage,iraq,0.05
2014,percentage,iraq,0.06
2015,percentage,iraq,0.07
2016,percentage,iraq,0.1
2017,percentage,iraq,0.15
2018,percentage,iraq,0.17
2019,percentage,iraq,0.17
2020,percentage,iraq,0.17
2021,percentage,iraq,0.17
2010,percentage,iran,0.02
2011,percentage,iran,0.02
2012,percentage,iran,0.02
2013,percentage,iran,0.02
2014,percentage,iran,0.03
2015,percentage,iran,0.03
2016,percentage,iran,0.03
2017,percentage,iran,0.05
2018,percentage,iran,0.05
2019,percentage,iran,0.05
2020,percentage,iran,0.05
2021,percentage,iran,0.05
2010,percentage,russian federation,0.05
2011,percentage,russian federation,0.05
2012,percentage,russian federation,0.05
2013,percentage,russian federation,0.04
2014,percentage,russian federation,0.05
2015,percentage,russian federation,0.04
2016,percentage,russian federation,0.04
2017,percentage,russian federation,0.05
2018,percentage,russian federation,0.05
2019,percentage,russian federation,0.05
2020,percentage,russian federation,0.05
2021,percentage,russian federation,0.05
2010,percentage,syria,0.01
2011,percentage,syria,0.01
2012,percentage,syria,0.02
2013,percentage,syria,0.03
2014,percentage,syria,0.07
2015,percentage,syria,0.14
2016,percentage,syria,0.43
2017,percentage,syria,0.57
2018,percentage,syria,0.63
2019,percentage,syria,0.68
2020,percentage,syria,0.7
2021,percentage,syria,0.71
2010,percentage,turkey,0.06
2011,percentage,turkey,0.05
2012,percentage,turkey,0.05
2013,percentage,turkey,0.05
2014,percentage,turkey,0.05
2015,percentage,turkey,0.05
2016,percentage,turkey,0.05
2017,percentage,turkey,0.05
2018,percentage,turkey,0.05
2019,percentage,turkey,0.05
2020,percentage,turkey,0.06
2021,percentage,turkey,0.06
2010,number,,382325.0
2011,number,,373875.0
2012,number,,399050.0
2013,number,,410570.0
2014,number,,460140.0
2015,number,,547935.0
2016,number,,867500.0
2017,number,,1154365.0
2018,number,,1283225.0
2019,number,,1360070.0
2020,number,,1397685.0
2021,number,,1451375.0
2010,number,syria,7814.0
2011,number,syria,7819.0
2012,number,syria,15861.0
2013,number,syria,25363.0
2014,number,syria,54756.0
2015,number,syria,117948.0
2016,number,syria,354719.0
2017,number,syria,476027.0
2018,number,syria,525665.0
2019,number,syria,561525.0
2020,number,syria,582644.0
2021,number,syria,592180.0
2010,number,afghanistan,24000.0
2011,number,afghanistan,24725.0
2012,number,afghanistan,26592.0
2013,number,afghanistan,29634.0
2014,number,afghanistan,33992.0
2015,number,afghanistan,36877.0
2016,number,afghanistan,51077.0
2017,number,afghanistan,104944.0
2018,number,afghanistan,130547.0
2019,number,afghanistan,143873.0
2020,number,afghanistan,149972.0
2021,number,afghanistan,167360.0
2010,number,iraq,42454.0
2011,number,iraq,41668.0
2012,number,iraq,43065.0
2013,number,iraq,44278.0
2014,number,iraq,45945.0
2015,number,iraq,55262.0
2016,number,iraq,83349.0
2017,number,iraq,127275.0
2018,number,iraq,137506.0
2019,number,iraq,140244.0
2020,number,iraq,141464.0
2021,number,iraq,145235.0
2010,number,iran,14960.0
2011,number,iran,15649.0
2012,number,iran,17224.0
2013,number,iran,18762.0
2014,number,iran,20875.0
2015,number,iran,21855.0
2016,number,iran,24544.0
2017,number,iran,38065.0
2018,number,iran,42597.0
2019,number,iran,44107.0
2020,number,iran,43282.0
2021,number,iran,45545.0
2010,number,turkey,44402.0
2011,number,turkey,42507.0
2012,number,turkey,42827.0
2013,number,turkey,41688.0
2014,number,turkey,40523.0
2015,number,turkey,39171.0
2016,number,turkey,38007.0
2017,number,turkey,38589.0
2018,number,turkey,41270.0
2019,number,turkey,45043.0
2020,number,turkey,48825.0
2021,number,turkey,51545.0
2010,number,russian federation,36189.0
2011,number,russian federation,36556.0
2012,number,russian federation,36633.0
2013,number,russian federation,36334.0
2014,number,russian federation,36599.0
2015,number,russian federation,36682.0
2016,number,russian federation,36561.0
2017,number,russian federation,37365.0
2018,number,russian federation,38466.0
2019,number,russian federation,39300.0
2020,number,russian federation,39344.0
2021,number,russian federation,40210.0
