Year,timeseries,Value
2010,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.082
2011,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.209
2012,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.236
2013,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.291
2014,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.412
2015,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.446
2016,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.492
2017,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.613
2018,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.605
2019,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.74
2020,government expenditure on protection of biodiversity and landscape (cofog division 5.4),1.966
2021,government expenditure on protection of biodiversity and landscape (cofog division 5.4),2.033
2010,government expenditure on cultural services (cofog division 8.2),9.793
2011,government expenditure on cultural services (cofog division 8.2),10.459
2012,government expenditure on cultural services (cofog division 8.2),10.494
2013,government expenditure on cultural services (cofog division 8.2),10.896
2014,government expenditure on cultural services (cofog division 8.2),11.493
2015,government expenditure on cultural services (cofog division 8.2),11.563
2016,government expenditure on cultural services (cofog division 8.2),11.777
2017,government expenditure on cultural services (cofog division 8.2),12.381
2018,government expenditure on cultural services (cofog division 8.2),12.754
2019,government expenditure on cultural services (cofog division 8.2),13.636
2020,government expenditure on cultural services (cofog division 8.2),15.395
2021,government expenditure on cultural services (cofog division 8.2),15.486
