Year,Units,timeseries,Value
2010,million tonnes,above-ground biomass stock in forest,1571.0
2011,million tonnes,above-ground biomass stock in forest,1584.9
2012,million tonnes,above-ground biomass stock in forest,1598.2
2013,million tonnes,above-ground biomass stock in forest,1611.9
2014,million tonnes,above-ground biomass stock in forest,1636.4
2015,million tonnes,above-ground biomass stock in forest,1642.6
2016,million tonnes,above-ground biomass stock in forest,1651.4
2017,million tonnes,above-ground biomass stock in forest,1659.5
2018,million tonnes,above-ground biomass stock in forest,1664.6
2019,million tonnes,above-ground biomass stock in forest,1666.8
2020,million tonnes,above-ground biomass stock in forest,1661.7
2021,million tonnes,above-ground biomass stock in forest,
2010,percentage,forest area located within protected areas,
2011,percentage,forest area located within protected areas,
2012,percentage,forest area located within protected areas,0.68
2013,percentage,forest area located within protected areas,
2014,percentage,forest area located within protected areas,
2015,percentage,forest area located within protected areas,
2016,percentage,forest area located within protected areas,0.7
2017,percentage,forest area located within protected areas,
2018,percentage,forest area located within protected areas,
2019,percentage,forest area located within protected areas,
2020,percentage,forest area located within protected areas,
2021,percentage,forest area located within protected areas,
2010,percentage,forest area net change rate,0.1
2011,percentage,forest area net change rate,0.1
2012,percentage,forest area net change rate,0.2
2013,percentage,forest area net change rate,0.9
2014,percentage,forest area net change rate,0.2
2015,percentage,forest area net change rate,0.2
2016,percentage,forest area net change rate,
2017,percentage,forest area net change rate,0.2
2018,percentage,forest area net change rate,0.2
2019,percentage,forest area net change rate,0.0
2020,percentage,forest area net change rate,0.1
2021,percentage,forest area net change rate,0.1
2010,percentage,forest area under an independently verified forest management certification scheme,67.5
2011,percentage,forest area under an independently verified forest management certification scheme,67.2
2012,percentage,forest area under an independently verified forest management certification scheme,66.9
2013,percentage,forest area under an independently verified forest management certification scheme,66.9
2014,percentage,forest area under an independently verified forest management certification scheme,66.6
2015,percentage,forest area under an independently verified forest management certification scheme,66.2
2016,percentage,forest area under an independently verified forest management certification scheme,66.9
2017,percentage,forest area under an independently verified forest management certification scheme,67.2
2018,percentage,forest area under an independently verified forest management certification scheme,68.6
2019,percentage,forest area under an independently verified forest management certification scheme,69.1
2020,percentage,forest area under an independently verified forest management certification scheme,73.9
2021,percentage,forest area under an independently verified forest management certification scheme,79.2
