Year,Units,timeseries,age group,sex,Value
2010,percentage,population who were exposed to physical violence,,,
2011,percentage,population who were exposed to physical violence,,,
2012,percentage,population who were exposed to physical violence,,,2.7
2013,percentage,population who were exposed to physical violence,,,
2014,percentage,population who were exposed to physical violence,,,
2015,percentage,population who were exposed to physical violence,,,
2016,percentage,population who were exposed to physical violence,,,
2017,percentage,population who were exposed to physical violence,,,3.0
2018,percentage,population who were exposed to physical violence,,,
2019,percentage,population who were exposed to physical violence,,,
2020,percentage,population who were exposed to physical violence,,,
2021,percentage,population who were exposed to physical violence,,,
2010,percentage,population who were victims of criminal offences,,,1.2
2011,percentage,population who were victims of criminal offences,,,1.2
2012,percentage,population who were victims of criminal offences,,,1.2
2013,percentage,population who were victims of criminal offences,,,1.2
2014,percentage,population who were victims of criminal offences,,,1.2
2015,percentage,population who were victims of criminal offences,,,1.2
2016,percentage,population who were victims of criminal offences,,,1.2
2017,percentage,population who were victims of criminal offences,,,1.2
2018,percentage,population who were victims of criminal offences,,,1.2
2019,percentage,population who were victims of criminal offences,,,1.2
2020,percentage,population who were victims of criminal offences,,,1.2
2021,percentage,population who were victims of criminal offences,,,1.2
2010,number,victims of criminal offences,,,932126.0
2011,number,victims of criminal offences,,,964945.0
2012,number,victims of criminal offences,,,976090.0
2013,number,victims of criminal offences,,,955737.0
2014,number,victims of criminal offences,,,947568.0
2015,number,victims of criminal offences,,,946133.0
2016,number,victims of criminal offences,,,1017602.0
2017,number,victims of criminal offences,,,1008510.0
2018,number,victims of criminal offences,,,1025241.0
2019,number,victims of criminal offences,,,1013048.0
2020,number,victims of criminal offences,,,1011462.0
2021,number,victims of criminal offences,,,985790.0
2010,number,victims of criminal offences,13 years and younger,,72232.0
2011,number,victims of criminal offences,13 years and younger,,70429.0
2012,number,victims of criminal offences,13 years and younger,,67579.0
2013,number,victims of criminal offences,13 years and younger,,65334.0
2014,number,victims of criminal offences,13 years and younger,,64584.0
2015,number,victims of criminal offences,13 years and younger,,62342.0
2016,number,victims of criminal offences,13 years and younger,,67519.0
2017,number,victims of criminal offences,13 years and younger,,68820.0
2018,number,victims of criminal offences,13 years and younger,,70590.0
2019,number,victims of criminal offences,13 years and younger,,72772.0
2020,number,victims of criminal offences,13 years and younger,,70106.0
2021,number,victims of criminal offences,13 years and younger,,71931.0
2010,number,victims of criminal offences,14 to under 18 years,,99135.0
2011,number,victims of criminal offences,14 to under 18 years,,92128.0
2012,number,victims of criminal offences,14 to under 18 years,,88020.0
2013,number,victims of criminal offences,14 to under 18 years,,81633.0
2014,number,victims of criminal offences,14 to under 18 years,,77948.0
2015,number,victims of criminal offences,14 to under 18 years,,74650.0
