Year,sex,form of abuse,Value
2010,female,,
2011,female,,
2012,female,,0.08
2013,female,,0.08
2014,female,,0.08
2015,female,,0.09
2016,female,,0.1
2017,female,,0.1
2018,female,,0.12
2019,female,,0.14
2020,female,,0.15
2021,female,,0.16
2010,male,,
2011,male,,
2012,male,,0.07
2013,male,,0.07
2014,male,,0.07
2015,male,,0.08
2016,male,,0.09
2017,male,,0.09
2018,male,,0.11
2019,male,,0.13
2020,male,,0.13
2021,male,,0.13
2010,,physical abuse,
2011,,physical abuse,
2012,,physical abuse,0.04
2013,,physical abuse,0.04
2014,,physical abuse,0.04
2015,,physical abuse,0.04
2016,,physical abuse,0.05
2017,,physical abuse,0.05
2018,,physical abuse,0.06
2019,,physical abuse,0.07
2020,,physical abuse,0.07
2021,,physical abuse,0.07
2010,female,physical abuse,
2011,female,physical abuse,
2012,female,physical abuse,0.04
2013,female,physical abuse,0.04
2014,female,physical abuse,0.04
2015,female,physical abuse,0.04
2016,female,physical abuse,0.05
2017,female,physical abuse,0.05
2018,female,physical abuse,0.06
2019,female,physical abuse,0.07
2020,female,physical abuse,0.07
2021,female,physical abuse,0.07
2010,male,physical abuse,
2011,male,physical abuse,
2012,male,physical abuse,0.03
2013,male,physical abuse,0.03
2014,male,physical abuse,0.04
2015,male,physical abuse,0.04
2016,male,physical abuse,0.04
2017,male,physical abuse,0.05
2018,male,physical abuse,0.05
2019,male,physical abuse,0.06
2020,male,physical abuse,0.06
2021,male,physical abuse,0.06
2010,,psychological abuse,
2011,,psychological abuse,
2012,,psychological abuse,0.03
2013,,psychological abuse,0.03
2014,,psychological abuse,0.04
2015,,psychological abuse,0.04
2016,,psychological abuse,0.05
2017,,psychological abuse,0.05
2018,,psychological abuse,0.06
2019,,psychological abuse,0.07
2020,,psychological abuse,0.07
2021,,psychological abuse,0.08
2010,female,psychological abuse,
2011,female,psychological abuse,
2012,female,psychological abuse,0.03
2013,female,psychological abuse,0.04
2014,female,psychological abuse,0.04
2015,female,psychological abuse,0.05
2016,female,psychological abuse,0.05
2017,female,psychological abuse,0.05
2018,female,psychological abuse,0.06
2019,female,psychological abuse,0.07
2020,female,psychological abuse,0.08
2021,female,psychological abuse,0.09
2010,male,psychological abuse,
2011,male,psychological abuse,
2012,male,psychological abuse,0.03
2013,male,psychological abuse,0.03
2014,male,psychological abuse,0.04
2015,male,psychological abuse,0.04
2016,male,psychological abuse,0.04
2017,male,psychological abuse,0.05
2018,male,psychological abuse,0.06
2019,male,psychological abuse,0.06
2020,male,psychological abuse,0.07
2021,male,psychological abuse,0.07
