Year,sex,Value
2010,,18.23
2011,,18.55
2012,,18.83
2013,,19.55
2014,,20.53
2015,,21.76
2016,,22.82
2017,,23.98
2018,,23.89
2019,,23.08
2020,,23.52
2021,,22.59
2010,female,19.61
2011,female,19.3
2012,female,20.37
2013,female,20.07
2014,female,21.82
2015,female,21.09
2016,female,22.08
2017,female,22.25
2018,female,22.46
2019,female,22.18
2020,female,23.54
2021,female,19.73
2010,male,18.15
2011,male,18.5
2012,male,18.73
2013,male,19.51
2014,male,20.45
2015,male,21.8
2016,male,22.86
2017,male,24.08
2018,male,23.99
2019,male,23.14
2020,male,23.52
2021,male,22.76
