Year,Luftgüte,Value
2015,Feinstaub (PM10),9
2015,Ozon Stundenwerte,5
2015,Ozon 8-Stundenwerte (gleitend),31
2016,Feinstaub (PM10),4
2016,Ozon Stundenwerte,0
2016,Ozon 8-Stundenwerte (gleitend),32
2017,Feinstaub (PM10),4
2017,Ozon Stundenwerte,0
2017,Ozon 8-Stundenwerte (gleitend),8
2018,Feinstaub (PM10),5
2018,Ozon Stundenwerte,3
2018,Ozon 8-Stundenwerte (gleitend),36
2019,Feinstaub (PM10),1
2019,Ozon Stundenwerte,1
2019,Ozon 8-Stundenwerte (gleitend),33
2020,Feinstaub (PM10),1
2020,Ozon Stundenwerte,0
2020,Ozon 8-Stundenwerte (gleitend),20
2021,Feinstaub (PM10),1
2021,Ozon Stundenwerte,0
2021,Ozon 8-Stundenwerte (gleitend),14
