Year,skill,level of proficiency,Value
2011,a) literacy skills,minimum requirement level i,
2012,a) literacy skills,minimum requirement level i,96.7
2013,a) literacy skills,minimum requirement level i,
2011,a) literacy skills,minimum requirement level ii,
2012,a) literacy skills,minimum requirement level ii,82.5
2013,a) literacy skills,minimum requirement level ii,
2011,b) numeracy skills,minimum requirement level i,
2012,b) numeracy skills,minimum requirement level i,95.5
2013,b) numeracy skills,minimum requirement level i,
2011,b) numeracy skills,minimum requirement level ii,
2012,b) numeracy skills,minimum requirement level ii,81.6
2013,b) numeracy skills,minimum requirement level ii,
