Year,grade,Value
2010,,100.0
2011,,100.0
2012,,100.0
2013,,100.0
2014,,100.0
2015,,100.0
2016,,100.0
2017,,100.0
2010,in lower secondary education,100.0
2011,in lower secondary education,100.0
2012,in lower secondary education,100.0
2013,in lower secondary education,100.0
2014,in lower secondary education,100.0
2015,in lower secondary education,100.0
2016,in lower secondary education,100.0
2017,in lower secondary education,100.0
2010,in pre-primary education,100.0
2011,in pre-primary education,100.0
2012,in pre-primary education,100.0
2013,in pre-primary education,100.0
2014,in pre-primary education,100.0
2015,in pre-primary education,100.0
2016,in pre-primary education,100.0
2017,in pre-primary education,100.0
2010,in primary education,100.0
2011,in primary education,100.0
2012,in primary education,100.0
2013,in primary education,100.0
2014,in primary education,100.0
2015,in primary education,100.0
2016,in primary education,100.0
2017,in primary education,100.0
2010,in upper secondary education,100.0
2011,in upper secondary education,100.0
2012,in upper secondary education,100.0
2013,in upper secondary education,100.0
2014,in upper secondary education,100.0
2015,in upper secondary education,100.0
2016,in upper secondary education,100.0
2017,in upper secondary education,100.0
