Year,Units,timeseries,Value
2010,million eur,oda (gross disbursements) for water and sanitation,486.1
2011,million eur,oda (gross disbursements) for water and sanitation,563.5
2012,million eur,oda (gross disbursements) for water and sanitation,497.0
2013,million eur,oda (gross disbursements) for water and sanitation,552.9
2014,million eur,oda (gross disbursements) for water and sanitation,748.5
2015,million eur,oda (gross disbursements) for water and sanitation,827.6
2016,million eur,oda (gross disbursements) for water and sanitation,835.0
2017,million eur,oda (gross disbursements) for water and sanitation,856.6
2018,million eur,oda (gross disbursements) for water and sanitation,894.9
2019,million eur,oda (gross disbursements) for water and sanitation,823.0
2020,million eur,oda (gross disbursements) for water and sanitation,874.2
2010,million eur,oda (gross disbursements) for other related purposes,41.2
2011,million eur,oda (gross disbursements) for other related purposes,76.4
2012,million eur,oda (gross disbursements) for other related purposes,57.8
2013,million eur,oda (gross disbursements) for other related purposes,51.8
2014,million eur,oda (gross disbursements) for other related purposes,54.4
2015,million eur,oda (gross disbursements) for other related purposes,21.9
2016,million eur,oda (gross disbursements) for other related purposes,19.4
2017,million eur,oda (gross disbursements) for other related purposes,7.0
2018,million eur,oda (gross disbursements) for other related purposes,29.4
2019,million eur,oda (gross disbursements) for other related purposes,10.9
2020,million eur,oda (gross disbursements) for other related purposes,11.0
2010,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,653.83
2011,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,749.78
2012,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,651.58
2013,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,710.94
2014,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,944.84
2015,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,1025.54
2016,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,1021.17
2017,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,1032.08
2018,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,1057.28
2019,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,952.74
2020,"million usd, constant prices (2020)",oda (gross disbursements) for water and sanitation,996.3
2010,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,55.4
2011,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,101.7
2012,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,75.8
2013,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,66.6
2014,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,68.7
2015,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,27.1
2016,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,23.7
2017,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,8.4
2018,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,34.7
2019,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,12.6
2020,"million usd, constant prices (2020)",oda (gross disbursements) for other related purposes,12.6
