Year,timeseries,sea,Value
2010,proportion of sustainable managed stocks in all msy examined stocks,,40.0
2011,proportion of sustainable managed stocks in all msy examined stocks,,40.0
2012,proportion of sustainable managed stocks in all msy examined stocks,,50.0
2013,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2014,proportion of sustainable managed stocks in all msy examined stocks,,40.0
2015,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2016,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2017,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2018,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2019,proportion of sustainable managed stocks in all msy examined stocks,,46.7
2020,proportion of sustainable managed stocks in all msy examined stocks,,60.0
2010,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,40.9
2011,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,40.9
2012,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,50.0
2013,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,40.9
2014,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,36.4
2015,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,45.5
2016,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,45.5
2017,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,45.5
2018,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,45.5
2019,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,45.5
2020,proportion of sustainable managed stocks in all msy examined stocks,greater north sea,59.1
2010,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2011,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2012,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,50.0
2013,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,50.0
2014,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,50.0
2015,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2016,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2017,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2018,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,37.5
2019,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,50.0
2020,proportion of sustainable managed stocks in all msy examined stocks,baltic sea,62.5
2010,proportion of msy examined in all managed stocks,,38.5
2011,proportion of msy examined in all managed stocks,,38.5
2012,proportion of msy examined in all managed stocks,,38.5
2013,proportion of msy examined in all managed stocks,,38.5
2014,proportion of msy examined in all managed stocks,,38.5
2015,proportion of msy examined in all managed stocks,,38.5
2016,proportion of msy examined in all managed stocks,,38.5
2017,proportion of msy examined in all managed stocks,,38.5
2018,proportion of msy examined in all managed stocks,,38.5
2019,proportion of msy examined in all managed stocks,,38.5
2020,proportion of msy examined in all managed stocks,,38.5
