Year,Series,Value
2010,documents issued for the import and export of protected species,22601
2011,documents issued for the import and export of protected species,20687
2012,documents issued for the import and export of protected species,21045
2013,documents issued for the import and export of protected species,21364
2014,documents issued for the import and export of protected species,23170
2015,documents issued for the import and export of protected species,23093
2016,documents issued for the import and export of protected species,24248
2017,documents issued for the import and export of protected species,29644
2018,documents issued for the import and export of protected species,31738
2019,documents issued for the import and export of protected species,30397
2020,documents issued for the import and export of protected species,19712
2021,documents issued for the import and export of protected species,24001
2010,seizures by authorities concerning the protection of species,1365
2011,seizures by authorities concerning the protection of species,1208
2012,seizures by authorities concerning the protection of species,1112
2013,seizures by authorities concerning the protection of species,1105
2014,seizures by authorities concerning the protection of species,852
2015,seizures by authorities concerning the protection of species,1301
2016,seizures by authorities concerning the protection of species,915
2017,seizures by authorities concerning the protection of species,934
2018,seizures by authorities concerning the protection of species,1294
2019,seizures by authorities concerning the protection of species,1444
2020,seizures by authorities concerning the protection of species,1240
2021,seizures by authorities concerning the protection of species,1130
