Year,Units,age group,sex,form of exploitation,Value
2010,"per 100,000 inhabitants",,,,0.81
2011,"per 100,000 inhabitants",,,,0.84
2012,"per 100,000 inhabitants",,,,0.78
2013,"per 100,000 inhabitants",,,,0.75
2014,"per 100,000 inhabitants",,,,0.72
2015,"per 100,000 inhabitants",,,,0.58
2016,"per 100,000 inhabitants",,,,0.65
2017,"per 100,000 inhabitants",,,,0.81
2018,"per 100,000 inhabitants",,,,0.59
2019,"per 100,000 inhabitants",,,,0.57
2020,"per 100,000 inhabitants",,,,0.58
2021,"per 100,000 inhabitants",,,,0.68
2010,"per 100,000 inhabitants",,,labour exploitation,0.05
2011,"per 100,000 inhabitants",,,labour exploitation,0.04
2012,"per 100,000 inhabitants",,,labour exploitation,0.02
2013,"per 100,000 inhabitants",,,labour exploitation,0.08
2014,"per 100,000 inhabitants",,,labour exploitation,0.03
2015,"per 100,000 inhabitants",,,labour exploitation,0.07
2016,"per 100,000 inhabitants",,,labour exploitation,0.06
2017,"per 100,000 inhabitants",,,labour exploitation,0.22
2018,"per 100,000 inhabitants",,,labour exploitation,0.08
2019,"per 100,000 inhabitants",,,labour exploitation,0.05
2020,"per 100,000 inhabitants",,,labour exploitation,0.09
2021,"per 100,000 inhabitants",,,labour exploitation,0.18
2010,"per 100,000 inhabitants",,,sexual exploitation,0.76
2011,"per 100,000 inhabitants",,,sexual exploitation,0.8
2012,"per 100,000 inhabitants",,,sexual exploitation,0.76
2013,"per 100,000 inhabitants",,,sexual exploitation,0.67
2014,"per 100,000 inhabitants",,,sexual exploitation,0.69
2015,"per 100,000 inhabitants",,,sexual exploitation,0.51
2016,"per 100,000 inhabitants",,,sexual exploitation,0.59
2017,"per 100,000 inhabitants",,,sexual exploitation,0.59
2018,"per 100,000 inhabitants",,,sexual exploitation,0.52
2019,"per 100,000 inhabitants",,,sexual exploitation,0.51
2020,"per 100,000 inhabitants",,,sexual exploitation,0.49
2021,"per 100,000 inhabitants",,,sexual exploitation,0.5
2010,number,,,,651.0
2011,number,,,,671.0
2012,number,,,,626.0
2013,number,,,,603.0
2014,number,,,,583.0
2015,number,,,,470.0
2016,number,,,,536.0
2017,number,,,,669.0
2018,number,,,,493.0
2019,number,,,,470.0
2020,number,,,,479.0
2021,number,,,,564.0
2010,number,,,labour exploitation,41.0
2011,number,,,labour exploitation,32.0
2012,number,,,labour exploitation,14.0
2013,number,,,labour exploitation,61.0
2014,number,,,labour exploitation,26.0
2015,number,,,labour exploitation,54.0
2016,number,,,labour exploitation,48.0
2017,number,,,labour exploitation,180.0
2018,number,,,labour exploitation,63.0
2019,number,,,labour exploitation,43.0
2020,number,,,labour exploitation,73.0
2021,number,,,labour exploitation,147.0
2010,number,,,sexual exploitation,610.0
2011,number,,,sexual exploitation,639.0
2012,number,,,sexual exploitation,612.0
2013,number,,,sexual exploitation,542.0
2014,number,,,sexual exploitation,557.0
2015,number,,,sexual exploitation,416.0
2016,number,,,sexual exploitation,488.0
2017,number,,,sexual exploitation,489.0
2018,number,,,sexual exploitation,430.0
2019,number,,,sexual exploitation,427.0
2020,number,,,sexual exploitation,406.0
2021,number,,,sexual exploitation,417.0
2010,number,13 years and younger,,sexual exploitation,13.0
2011,number,13 years and younger,,sexual exploitation,13.0
2012,number,13 years and younger,,sexual exploitation,12.0
2013,number,13 years and younger,,sexual exploitation,9.0
2014,number,13 years and younger,,sexual exploitation,5.0
2015,number,13 years and younger,,sexual exploitation,6.0
2016,number,13 years and younger,,sexual exploitation,12.0
2017,number,13 years and younger,,sexual exploitation,16.0
2018,number,13 years and younger,,sexual exploitation,4.0
2019,number,13 years and younger,,sexual exploitation,5.0
2020,number,13 years and younger,,sexual exploitation,13.0
2021,number,13 years and younger,,sexual exploitation,1.0
2010,number,14 to under 18 years,,sexual exploitation,79.0
2011,number,14 to under 18 years,,sexual exploitation,77.0
2012,number,14 to under 18 years,,sexual exploitation,88.0
2013,number,14 to under 18 years,,sexual exploitation,61.0
2014,number,14 to under 18 years,,sexual exploitation,52.0
2015,number,14 to under 18 years,,sexual exploitation,71.0
2016,number,14 to under 18 years,,sexual exploitation,84.0
2017,number,14 to under 18 years,,sexual exploitation,46.0
2018,number,14 to under 18 years,,sexual exploitation,64.0
2019,number,14 to under 18 years,,sexual exploitation,56.0
2020,number,14 to under 18 years,,sexual exploitation,66.0
2021,number,14 to under 18 years,,sexual exploitation,53.0
2010,number,18 to under 21 years,,sexual exploitation,254.0
2011,number,18 to under 21 years,,sexual exploitation,268.0
2012,number,18 to under 21 years,,sexual exploitation,223.0
2013,number,18 to under 21 years,,sexual exploitation,209.0
2014,number,18 to under 21 years,,sexual exploitation,209.0
2015,number,18 to under 21 years,,sexual exploitation,148.0
2016,number,18 to under 21 years,,sexual exploitation,118.0
2017,number,18 to under 21 years,,sexual exploitation,157.0
2018,number,18 to under 21 years,,sexual exploitation,130.0
2019,number,18 to under 21 years,,sexual exploitation,76.0
2020,number,18 to under 21 years,,sexual exploitation,88.0
2021,number,18 to under 21 years,,sexual exploitation,77.0
2010,number,21 to under 25 years,,sexual exploitation,127.0
2011,number,21 to under 25 years,,sexual exploitation,135.0
2012,number,21 to under 25 years,,sexual exploitation,123.0
2013,number,21 to under 25 years,,sexual exploitation,111.0
2014,number,21 to under 25 years,,sexual exploitation,115.0
2015,number,21 to under 25 years,,sexual exploitation,68.0
2016,number,21 to under 25 years,,sexual exploitation,109.0
2017,number,21 to under 25 years,,sexual exploitation,110.0
2018,number,21 to under 25 years,,sexual exploitation,93.0
2019,number,21 to under 25 years,,sexual exploitation,79.0
2020,number,21 to under 25 years,,sexual exploitation,78.0
2021,number,21 to under 25 years,,sexual exploitation,83.0
2010,number,25 years and older,,sexual exploitation,129.0
2011,number,25 years and older,,sexual exploitation,133.0
2012,number,25 years and older,,sexual exploitation,156.0
2013,number,25 years and older,,sexual exploitation,142.0
2014,number,25 years and older,,sexual exploitation,164.0
2015,number,25 years and older,,sexual exploitation,98.0
2016,number,25 years and older,,sexual exploitation,142.0
2017,number,25 years and older,,sexual exploitation,149.0
2018,number,25 years and older,,sexual exploitation,126.0
2019,number,25 years and older,,sexual exploitation,205.0
2020,number,25 years and older,,sexual exploitation,146.0
2021,number,25 years and older,,sexual exploitation,181.0
2010,number,unknown age,,sexual exploitation,8.0
2011,number,unknown age,,sexual exploitation,13.0
2012,number,unknown age,,sexual exploitation,10.0
2013,number,unknown age,,sexual exploitation,10.0
2014,number,unknown age,,sexual exploitation,12.0
2015,number,unknown age,,sexual exploitation,25.0
2016,number,unknown age,,sexual exploitation,23.0
2017,number,unknown age,,sexual exploitation,11.0
2018,number,unknown age,,sexual exploitation,13.0
2019,number,unknown age,,sexual exploitation,6.0
2020,number,unknown age,,sexual exploitation,15.0
2021,number,unknown age,,sexual exploitation,22.0
2010,number,,female,labour exploitation,
2011,number,,female,labour exploitation,
2012,number,,female,labour exploitation,7.0
2013,number,,female,labour exploitation,13.0
2014,number,,female,labour exploitation,4.0
2015,number,,female,labour exploitation,8.0
2016,number,,female,labour exploitation,13.0
2017,number,,female,labour exploitation,25.0
2018,number,,female,labour exploitation,8.0
2019,number,,female,labour exploitation,19.0
2020,number,,female,labour exploitation,18.0
2021,number,,female,labour exploitation,72.0
2010,number,,male,labour exploitation,
2011,number,,male,labour exploitation,
2012,number,,male,labour exploitation,5.0
2013,number,,male,labour exploitation,47.0
2014,number,,male,labour exploitation,22.0
2015,number,,male,labour exploitation,44.0
2016,number,,male,labour exploitation,34.0
2017,number,,male,labour exploitation,154.0
2018,number,,male,labour exploitation,54.0
2019,number,,male,labour exploitation,24.0
2020,number,,male,labour exploitation,55.0
2021,number,,male,labour exploitation,74.0
2010,number,,unknown,labour exploitation,
2011,number,,unknown,labour exploitation,
2012,number,,unknown,labour exploitation,2.0
2013,number,,unknown,labour exploitation,1.0
2014,number,,unknown,labour exploitation,0.0
2015,number,,unknown,labour exploitation,2.0
2016,number,,unknown,labour exploitation,1.0
2017,number,,unknown,labour exploitation,1.0
2018,number,,unknown,labour exploitation,1.0
2019,number,,unknown,labour exploitation,0.0
2020,number,,unknown,labour exploitation,0.0
2021,number,,unknown,labour exploitation,1.0
2010,number,,female,sexual exploitation,588.0
2011,number,,female,sexual exploitation,599.0
2012,number,,female,sexual exploitation,590.0
2013,number,,female,sexual exploitation,518.0
2014,number,,female,sexual exploitation,531.0
2015,number,,female,sexual exploitation,399.0
2016,number,,female,sexual exploitation,466.0
2017,number,,female,sexual exploitation,484.0
2018,number,,female,sexual exploitation,413.0
2019,number,,female,sexual exploitation,405.0
2020,number,,female,sexual exploitation,381.0
2021,number,,female,sexual exploitation,387.0
2010,number,,male,sexual exploitation,17.0
2011,number,,male,sexual exploitation,34.0
2012,number,,male,sexual exploitation,19.0
