Year,speed,Value
2010,,32.6
2011,,33.9
2012,,34.7
2013,,35.5
2014,,36.5
2015,,37.4
2016,,38.8
2017,,40.1
2018,,41.2
2019,,42.3
2020,,43.5
2021,,44.3
2010,a) over 144 kbps to under 2 mbps,4.2
2011,a) over 144 kbps to under 2 mbps,4.1
2012,a) over 144 kbps to under 2 mbps,2.6
2013,a) over 144 kbps to under 2 mbps,1.9
2014,a) over 144 kbps to under 2 mbps,1.6
2015,a) over 144 kbps to under 2 mbps,1.2
2016,a) over 144 kbps to under 2 mbps,0.8
2017,a) over 144 kbps to under 2 mbps,0.4
2018,a) over 144 kbps to under 2 mbps,4.0
2019,a) over 144 kbps to under 2 mbps,0.2
2020,a) over 144 kbps to under 2 mbps,0.3
2021,a) over 144 kbps to under 2 mbps,2.0
2010,b) 2 mbps to under 10 mbps,18.5
2011,b) 2 mbps to under 10 mbps,19.2
2012,b) 2 mbps to under 10 mbps,18.5
2013,b) 2 mbps to under 10 mbps,13.9
2014,b) 2 mbps to under 10 mbps,14.3
2015,b) 2 mbps to under 10 mbps,9.6
2016,b) 2 mbps to under 10 mbps,7.3
2017,b) 2 mbps to under 10 mbps,6.0
2018,b) 2 mbps to under 10 mbps,4.6
2019,b) 2 mbps to under 10 mbps,3.3
2020,b) 2 mbps to under 10 mbps,2.6
2021,b) 2 mbps to under 10 mbps,2.3
2010,c) 10 mbps to under 30 mbps,8.5
2011,c) 10 mbps to under 30 mbps,7.8
2012,c) 10 mbps to under 30 mbps,9.5
2013,c) 10 mbps to under 30 mbps,14.1
2014,c) 10 mbps to under 30 mbps,12.8
2015,c) 10 mbps to under 30 mbps,16.1
2016,c) 10 mbps to under 30 mbps,16.6
2017,c) 10 mbps to under 30 mbps,15.6
2018,c) 10 mbps to under 30 mbps,13.5
2019,c) 10 mbps to under 30 mbps,11.6
2020,c) 10 mbps to under 30 mbps,9.8
2021,c) 10 mbps to under 30 mbps,8.4
2010,d) 30 mbps to under 100 mbps,1.4
2011,d) 30 mbps to under 100 mbps,2.7
2012,d) 30 mbps to under 100 mbps,3.8
2013,d) 30 mbps to under 100 mbps,4.7
2014,d) 30 mbps to under 100 mbps,5.9
2015,d) 30 mbps to under 100 mbps,7.7
2016,d) 30 mbps to under 100 mbps,9.7
2017,d) 30 mbps to under 100 mbps,12.2
2018,d) 30 mbps to under 100 mbps,14.6
2019,d) 30 mbps to under 100 mbps,16.1
2020,d) 30 mbps to under 100 mbps,17.0
2021,d) 30 mbps to under 100 mbps,16.3
2010,e) 100 mbps and over,0.0
2011,e) 100 mbps and over,0.1
2012,e) 100 mbps and over,0.4
2013,e) 100 mbps and over,0.9
2014,e) 100 mbps and over,1.8
2015,e) 100 mbps and over,2.8
2016,e) 100 mbps and over,4.4
2017,e) 100 mbps and over,5.9
2018,e) 100 mbps and over,8.2
2019,e) 100 mbps and over,11.2
2020,e) 100 mbps and over,13.9
2021,e) 100 mbps and over,17.2
