Year,age group,sex,Value
2010,16 to under 75 years,,80
2011,16 to under 75 years,,81
2012,16 to under 75 years,,82
2013,16 to under 75 years,,84
2014,16 to under 75 years,,86
2015,16 to under 75 years,,88
2016,16 to under 75 years,,90
2017,16 to under 75 years,,90
2018,16 to under 75 years,,92
2019,16 to under 75 years,,93
2020,16 to under 75 years,,94
2021,16 to under 75 years,,91
2010,16 to under 75 years,female,76
2011,16 to under 75 years,female,78
2012,16 to under 75 years,female,79
2013,16 to under 75 years,female,81
2014,16 to under 75 years,female,84
2015,16 to under 75 years,female,85
2016,16 to under 75 years,female,88
2017,16 to under 75 years,female,89
2018,16 to under 75 years,female,91
2019,16 to under 75 years,female,92
2020,16 to under 75 years,female,93
2021,16 to under 75 years,female,91
2010,16 to under 75 years,male,84
2011,16 to under 75 years,male,84
2012,16 to under 75 years,male,85
2013,16 to under 75 years,male,87
2014,16 to under 75 years,male,89
2015,16 to under 75 years,male,90
2016,16 to under 75 years,male,91
2017,16 to under 75 years,male,92
2018,16 to under 75 years,male,94
2019,16 to under 75 years,male,94
2020,16 to under 75 years,male,95
2021,16 to under 75 years,male,92
2010,16 to under 25 years,,98
2011,16 to under 25 years,,99
2012,16 to under 25 years,,98
2013,16 to under 25 years,,98
2014,16 to under 25 years,,99
2015,16 to under 25 years,,99
2016,16 to under 25 years,,99
2017,16 to under 25 years,,99
2018,16 to under 25 years,,99
2019,16 to under 25 years,,99
2020,16 to under 25 years,,99
2021,16 to under 25 years,,98
2010,25 to under 65 years,,85
2011,25 to under 65 years,,87
2012,25 to under 65 years,,88
2013,25 to under 65 years,,89
2014,25 to under 65 years,,91
2015,25 to under 65 years,,92
2016,25 to under 65 years,,93
2017,25 to under 65 years,,93
2018,25 to under 65 years,,95
2019,25 to under 65 years,,96
2020,25 to under 65 years,,97
2021,25 to under 65 years,,94
2010,65 to under 75 years,,41
2011,65 to under 75 years,,41
2012,65 to under 75 years,,43
2013,65 to under 75 years,,50
2014,65 to under 75 years,,53
2015,65 to under 75 years,,56
2016,65 to under 75 years,,62
2017,65 to under 75 years,,64
2018,65 to under 75 years,,71
2019,65 to under 75 years,,72
2020,65 to under 75 years,,76
2021,65 to under 75 years,,74
