Year,substance,bound,sex,Series,Value
2010,drugs,,,inpatient treatment of substance use disorders,37107.0
2011,drugs,,,inpatient treatment of substance use disorders,36848.0
2012,drugs,,,inpatient treatment of substance use disorders,36166.0
2013,drugs,,,inpatient treatment of substance use disorders,40556.0
2014,drugs,,,inpatient treatment of substance use disorders,49795.0
2015,drugs,,,inpatient treatment of substance use disorders,51919.0
2016,drugs,,,inpatient treatment of substance use disorders,52621.0
2017,drugs,,,inpatient treatment of substance use disorders,51806.0
2018,drugs,,,inpatient treatment of substance use disorders,52380.0
2019,drugs,,,inpatient treatment of substance use disorders,53490.0
2020,drugs,,,inpatient treatment of substance use disorders,47082.0
2021,drugs,,,inpatient treatment of substance use disorders,46736.0
2010,drugs,,female,inpatient treatment of substance use disorders,10451.0
2011,drugs,,female,inpatient treatment of substance use disorders,10607.0
2012,drugs,,female,inpatient treatment of substance use disorders,10600.0
2013,drugs,,female,inpatient treatment of substance use disorders,11290.0
2014,drugs,,female,inpatient treatment of substance use disorders,13280.0
2015,drugs,,female,inpatient treatment of substance use disorders,13230.0
2016,drugs,,female,inpatient treatment of substance use disorders,13303.0
2017,drugs,,female,inpatient treatment of substance use disorders,12881.0
2018,drugs,,female,inpatient treatment of substance use disorders,12858.0
2019,drugs,,female,inpatient treatment of substance use disorders,12921.0
2020,drugs,,female,inpatient treatment of substance use disorders,11381.0
2021,drugs,,female,inpatient treatment of substance use disorders,11382.0
2010,drugs,,male,inpatient treatment of substance use disorders,26656.0
2011,drugs,,male,inpatient treatment of substance use disorders,26241.0
2012,drugs,,male,inpatient treatment of substance use disorders,25566.0
2013,drugs,,male,inpatient treatment of substance use disorders,29266.0
2014,drugs,,male,inpatient treatment of substance use disorders,36515.0
2015,drugs,,male,inpatient treatment of substance use disorders,38689.0
2016,drugs,,male,inpatient treatment of substance use disorders,39318.0
2017,drugs,,male,inpatient treatment of substance use disorders,38925.0
2018,drugs,,male,inpatient treatment of substance use disorders,39522.0
2019,drugs,,male,inpatient treatment of substance use disorders,40569.0
2020,drugs,,male,inpatient treatment of substance use disorders,35701.0
2021,drugs,,male,inpatient treatment of substance use disorders,35354.0
2010,drugs,,unknown,inpatient treatment of substance use disorders,
2011,drugs,,unknown,inpatient treatment of substance use disorders,
2012,drugs,,unknown,inpatient treatment of substance use disorders,
2013,drugs,,unknown,inpatient treatment of substance use disorders,
2014,drugs,,unknown,inpatient treatment of substance use disorders,
2015,drugs,,unknown,inpatient treatment of substance use disorders,
2016,drugs,,unknown,inpatient treatment of substance use disorders,
2017,drugs,,unknown,inpatient treatment of substance use disorders,
2018,drugs,,unknown,inpatient treatment of substance use disorders,
2019,drugs,,unknown,inpatient treatment of substance use disorders,
