Year,Units,Value
2010,megajoule per eur,5.5
2011,megajoule per eur,5.0
2012,megajoule per eur,4.9
2013,megajoule per eur,4.9
2014,megajoule per eur,4.5
2015,megajoule per eur,4.4
2016,megajoule per eur,4.3
2017,megajoule per eur,4.1
2018,megajoule per eur,3.9
2019,megajoule per eur,3.7
2020,megajoule per eur,3.5
2021,megajoule per eur,3.4
2010,2015 = 100,116.6
2011,2015 = 100,107.3
2012,2015 = 100,105.6
2013,2015 = 100,108.1
2014,2015 = 100,100.9
2015,2015 = 100,100.0
2016,2015 = 100,99.5
2017,2015 = 100,97.1
2018,2015 = 100,93.4
2019,2015 = 100,90.1
2020,2015 = 100,86.9
2021,2015 = 100,88.4
