Year,timeseries,Value
2010,branches of payment service providers,57.9
2011,branches of payment service providers,57.0
2012,branches of payment service providers,54.7
2013,branches of payment service providers,54.3
2014,branches of payment service providers,52.8
2015,branches of payment service providers,47.8
2016,branches of payment service providers,44.9
2017,branches of payment service providers,42.2
2018,branches of payment service providers,39.0
2019,branches of payment service providers,37.3
2020,branches of payment service providers,33.8
2021,branches of payment service providers,32.8
2010,atms of national payment service providers,118.9
2011,atms of national payment service providers,120.9
2012,atms of national payment service providers,118.3
2013,atms of national payment service providers,118.0
2014,atms of national payment service providers,123.1
2015,atms of national payment service providers,121.6
2016,atms of national payment service providers,132.2
2017,atms of national payment service providers,118.8
2018,atms of national payment service providers,119.9
2019,atms of national payment service providers,119.0
2020,atms of national payment service providers,116.8
2021,atms of national payment service providers,113.1
