Year,Units,Series,Value
2010,million tonnes,raw material consumption (rmc),1289.0
2011,million tonnes,raw material consumption (rmc),1411.0
2012,million tonnes,raw material consumption (rmc),1328.0
2013,million tonnes,raw material consumption (rmc),1318.0
2014,million tonnes,raw material consumption (rmc),1341.0
2015,million tonnes,raw material consumption (rmc),1239.0
2016,million tonnes,raw material consumption (rmc),1304.0
2017,million tonnes,raw material consumption (rmc),1387.0
2018,million tonnes,raw material consumption (rmc),1373.0
2010,tonnes per capita,raw material consumption (rmc),15.8
2011,tonnes per capita,raw material consumption (rmc),17.6
2012,tonnes per capita,raw material consumption (rmc),16.5
2013,tonnes per capita,raw material consumption (rmc),16.3
2014,tonnes per capita,raw material consumption (rmc),16.5
2015,tonnes per capita,raw material consumption (rmc),15.1
2016,tonnes per capita,raw material consumption (rmc),15.8
2017,tonnes per capita,raw material consumption (rmc),16.7
2018,tonnes per capita,raw material consumption (rmc),16.5
2010,2015 = 100,raw material consumption per real gdp,113.1
2011,2015 = 100,raw material consumption per real gdp,119.1
2012,2015 = 100,raw material consumption per real gdp,111.7
2013,2015 = 100,raw material consumption per real gdp,110.3
2014,2015 = 100,raw material consumption per real gdp,109.8
2015,2015 = 100,raw material consumption per real gdp,100.0
2016,2015 = 100,raw material consumption per real gdp,103.0
2017,2015 = 100,raw material consumption per real gdp,106.7
2018,2015 = 100,raw material consumption per real gdp,104.3
