Year,Value,Units,Series
2010,1263.0,million tonnes,domestic material consumption (dmc)
2011,1363.0,million tonnes,domestic material consumption (dmc)
2012,1318.0,million tonnes,domestic material consumption (dmc)
2013,1311.0,million tonnes,domestic material consumption (dmc)
2014,1348.0,million tonnes,domestic material consumption (dmc)
2015,1268.0,million tonnes,domestic material consumption (dmc)
2016,1280.0,million tonnes,domestic material consumption (dmc)
2017,1326.0,million tonnes,domestic material consumption (dmc)
2018,1279.0,million tonnes,domestic material consumption (dmc)
2010,15.4,tonnes per capita,domestic material consumption (dmc)
2011,17.0,tonnes per capita,domestic material consumption (dmc)
2012,16.4,tonnes per capita,domestic material consumption (dmc)
2013,16.3,tonnes per capita,domestic material consumption (dmc)
2014,16.6,tonnes per capita,domestic material consumption (dmc)
2015,15.5,tonnes per capita,domestic material consumption (dmc)
2016,15.5,tonnes per capita,domestic material consumption (dmc)
2017,16.0,tonnes per capita,domestic material consumption (dmc)
2018,15.4,tonnes per capita,domestic material consumption (dmc)
2010,108.1,2015 = 100,domestic material consumption per real gdp
2011,112.3,2015 = 100,domestic material consumption per real gdp
2012,108.1,2015 = 100,domestic material consumption per real gdp
2013,107.0,2015 = 100,domestic material consumption per real gdp
2014,107.6,2015 = 100,domestic material consumption per real gdp
2015,100.0,2015 = 100,domestic material consumption per real gdp
2016,98.7,2015 = 100,domestic material consumption per real gdp
2017,99.6,2015 = 100,domestic material consumption per real gdp
2018,94.8,2015 = 100,domestic material consumption per real gdp
