Year,Value,Series
2010,,animal genetic resources
2011,,animal genetic resources
2012,,animal genetic resources
2013,,animal genetic resources
2014,,animal genetic resources
2015,,animal genetic resources
2016,,animal genetic resources
2017,28.0,animal genetic resources
2018,28.0,animal genetic resources
2019,28.0,animal genetic resources
2020,28.0,animal genetic resources
2021,28.0,animal genetic resources
2010,,plant genetic resources
2011,,plant genetic resources
2012,,plant genetic resources
2013,,plant genetic resources
2014,174266.0,plant genetic resources
2015,,plant genetic resources
2016,174405.0,plant genetic resources
2017,177387.0,plant genetic resources
2018,179498.0,plant genetic resources
2019,181637.0,plant genetic resources
2020,181574.0,plant genetic resources
2021,182018.0,plant genetic resources
