Year,Value,Units
2010,202.7,million eur
2011,247.8,million eur
2012,218.1,million eur
2013,312.2,million eur
2014,268.4,million eur
2015,485.0,million eur
2016,518.8,million eur
2017,569.7,million eur
2018,482.5,million eur
2019,536.5,million eur
2020,798.4,million eur
2010,272.6,"million usd, constant prices (2020)"
2011,329.7,"million usd, constant prices (2020)"
2012,286.0,"million usd, constant prices (2020)"
2013,401.4,"million usd, constant prices (2020)"
2014,338.8,"million usd, constant prices (2020)"
2015,601.1,"million usd, constant prices (2020)"
2016,634.5,"million usd, constant prices (2020)"
2017,686.4,"million usd, constant prices (2020)"
2018,570.0,"million usd, constant prices (2020)"
2019,621.1,"million usd, constant prices (2020)"
2020,909.9,"million usd, constant prices (2020)"
