Year,Value,Units
2010,5.5,megajoule per eur
2011,5.0,megajoule per eur
2012,4.9,megajoule per eur
2013,4.9,megajoule per eur
2014,4.5,megajoule per eur
2015,4.4,megajoule per eur
2016,4.3,megajoule per eur
2017,4.1,megajoule per eur
2018,3.9,megajoule per eur
2019,3.7,megajoule per eur
2020,3.5,megajoule per eur
2021,3.4,megajoule per eur
2010,116.6,2015 = 100
2011,107.3,2015 = 100
2012,105.6,2015 = 100
2013,108.1,2015 = 100
2014,100.9,2015 = 100
2015,100.0,2015 = 100
2016,99.5,2015 = 100
2017,97.1,2015 = 100
2018,93.4,2015 = 100
2019,90.1,2015 = 100
2020,86.9,2015 = 100
2021,88.4,2015 = 100
