Year,Value,Units,Series,GeoCode
2010,,eur per hour,average hourly earnings of employees,
2011,,eur per hour,average hourly earnings of employees,
2012,,eur per hour,average hourly earnings of employees,
2013,,eur per hour,average hourly earnings of employees,
2014,17.78,eur per hour,average hourly earnings of employees,
2015,,eur per hour,average hourly earnings of employees,
2016,,eur per hour,average hourly earnings of employees,
2017,,eur per hour,average hourly earnings of employees,
2018,19.66,eur per hour,average hourly earnings of employees,
2019,,eur per hour,average hourly earnings of employees,
2020,,eur per hour,average hourly earnings of employees,
2021,,eur per hour,average hourly earnings of employees,
2022,22.36,eur per hour,average hourly earnings of employees,
2010,22.0,percentage,gender pay gap,
2011,22.0,percentage,gender pay gap,
2012,23.0,percentage,gender pay gap,
2013,22.0,percentage,gender pay gap,
2014,22.0,percentage,gender pay gap,
2015,22.0,percentage,gender pay gap,
2016,21.0,percentage,gender pay gap,
2017,20.0,percentage,gender pay gap,
2018,20.0,percentage,gender pay gap,
2019,19.0,percentage,gender pay gap,
2020,18.0,percentage,gender pay gap,
2021,18.0,percentage,gender pay gap,
2022,18.0,percentage,gender pay gap,
