Year,Series,Value
2010,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2011,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2012,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2013,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2014,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2015,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2016,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2017,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2018,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2019,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,0.6
2020,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2021,implementation and progress on national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,
2010,implementation of the system of environmental-economic accounting (seea),3.0
2011,implementation of the system of environmental-economic accounting (seea),3.0
2012,implementation of the system of environmental-economic accounting (seea),3.0
2013,implementation of the system of environmental-economic accounting (seea),3.0
2014,implementation of the system of environmental-economic accounting (seea),3.0
2015,implementation of the system of environmental-economic accounting (seea),3.0
2016,implementation of the system of environmental-economic accounting (seea),3.0
2017,implementation of the system of environmental-economic accounting (seea),3.0
2018,implementation of the system of environmental-economic accounting (seea),3.0
2019,implementation of the system of environmental-economic accounting (seea),3.0
2020,implementation of the system of environmental-economic accounting (seea),3.0
2021,implementation of the system of environmental-economic accounting (seea),3.0
