Year,Units,sex,Series,Value
2010,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.65
2016,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.66
2018,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.67
2020,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.86
2010,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.89
2016,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.75
2018,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.62
2020,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,percentage,female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.04
2010,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.36
2016,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.57
2018,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.56
2020,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,percentage,male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.68
2010,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2016,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2018,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,28.0
2020,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,percentage,divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,31.19
2010,number,,private persons (donors) suspected in the context of corruption offences,354.0
2011,number,,private persons (donors) suspected in the context of corruption offences,295.0
2012,number,,private persons (donors) suspected in the context of corruption offences,163.0
2013,number,,private persons (donors) suspected in the context of corruption offences,222.0
2014,number,,private persons (donors) suspected in the context of corruption offences,121.0
2015,number,,private persons (donors) suspected in the context of corruption offences,148.0
2016,number,,private persons (donors) suspected in the context of corruption offences,
2017,number,,private persons (donors) suspected in the context of corruption offences,
2018,number,,private persons (donors) suspected in the context of corruption offences,
2019,number,,private persons (donors) suspected in the context of corruption offences,
2020,number,,private persons (donors) suspected in the context of corruption offences,
2021,number,,private persons (donors) suspected in the context of corruption offences,
