Year,sex,Value
2010,,
2011,,
2012,,
2013,,
2014,,
2015,,92.17
2016,,
2017,,93.6
2018,,
2019,,94.19
2020,,
2021,,94.92
2010,female,
2011,female,
2012,female,
2013,female,
2014,female,
2015,female,92.34
2016,female,
2017,female,94.33
2018,female,
2019,female,91.1
2020,female,
2021,female,95.9
2010,male,
2011,male,
2012,male,
2013,male,
2014,male,
2015,male,91.98
2016,male,
2017,male,92.78
2018,male,
2019,male,94.33
2020,male,
2021,male,93.87
2010,divers,
2011,divers,
2012,divers,
2013,divers,
2014,divers,
2015,divers,
2016,divers,
2017,divers,
2018,divers,
2019,divers,90.02
2020,divers,
2021,divers,96.04
