Year,Units,timeseries,Value
2010,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),916.0
2011,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),809.2
2012,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),740.5
2013,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),835.9
2014,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1115.5
2015,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1578.0
2016,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1278.4
2017,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),2141.1
2018,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),2107.3
2019,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),2029.1
2020,million eur,oda and oof (commitments) for capacity building and national planning (without south-south cooperations),3225.6
2010,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),675.0
2011,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),703.8
2012,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),743.5
2013,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),819.9
2014,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),929.0
2015,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1302.0
2016,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1210.4
2017,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1536.8
2018,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),2150.9
2019,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1727.2
2020,million eur,oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),2395.3
2010,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1232.0
2011,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1076.8
2012,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),970.9
2013,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1074.9
2014,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1408.0
2015,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1955.5
2016,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),1563.5
2017,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),2579.7
2018,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),2489.8
2019,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),2349.1
2020,"million usd, constant prices (2020)",oda and oof (commitments) for capacity building and national planning (without south-south cooperations),3675.9
2010,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),907.9
2011,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),936.5
2012,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),974.8
2013,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1054.3
2014,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1172.7
2015,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1613.5
2016,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1480.3
2017,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1851.5
2018,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),2541.3
2019,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),1999.5
2020,"million usd, constant prices (2020)",oda and oof (gross disbursements) for capacity building and national planning (without south-south cooperations),2729.7
