Year,Units,timeseries,level of risk of extinction,Value
2010,percentage,level of risk of extinction (according to fao classification),at risk,
2011,percentage,level of risk of extinction (according to fao classification),at risk,
2012,percentage,level of risk of extinction (according to fao classification),at risk,
2013,percentage,level of risk of extinction (according to fao classification),at risk,
2014,percentage,level of risk of extinction (according to fao classification),at risk,
2015,percentage,level of risk of extinction (according to fao classification),at risk,45.45
2016,percentage,level of risk of extinction (according to fao classification),at risk,
2017,percentage,level of risk of extinction (according to fao classification),at risk,
2018,percentage,level of risk of extinction (according to fao classification),at risk,
2019,percentage,level of risk of extinction (according to fao classification),at risk,87.5
2010,percentage,level of risk of extinction (according to fao classification),not at risk,
2011,percentage,level of risk of extinction (according to fao classification),not at risk,
2012,percentage,level of risk of extinction (according to fao classification),not at risk,
2013,percentage,level of risk of extinction (according to fao classification),not at risk,
2014,percentage,level of risk of extinction (according to fao classification),not at risk,
2015,percentage,level of risk of extinction (according to fao classification),not at risk,54.55
2016,percentage,level of risk of extinction (according to fao classification),not at risk,
2017,percentage,level of risk of extinction (according to fao classification),not at risk,
2018,percentage,level of risk of extinction (according to fao classification),not at risk,
2019,percentage,level of risk of extinction (according to fao classification),not at risk,12.5
2010,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2011,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,74.0
2012,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2013,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,75.0
2014,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2015,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,77.0
2016,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2017,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,77.0
2018,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2019,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,80.0
2010,percentage,level of risk of extinction (according to national classification),not at risk,
2011,percentage,level of risk of extinction (according to national classification),not at risk,29.7
2012,percentage,level of risk of extinction (according to national classification),not at risk,
2013,percentage,level of risk of extinction (according to national classification),not at risk,30.7
2014,percentage,level of risk of extinction (according to national classification),not at risk,
2015,percentage,level of risk of extinction (according to national classification),not at risk,28.6
2016,percentage,level of risk of extinction (according to national classification),not at risk,
2017,percentage,level of risk of extinction (according to national classification),not at risk,29.9
2018,percentage,level of risk of extinction (according to national classification),not at risk,
2019,percentage,level of risk of extinction (according to national classification),not at risk,30.0
2010,percentage,level of risk of extinction (according to national classification),under observation,
2011,percentage,level of risk of extinction (according to national classification),under observation,39.2
2012,percentage,level of risk of extinction (according to national classification),under observation,
2013,percentage,level of risk of extinction (according to national classification),under observation,42.7
2014,percentage,level of risk of extinction (according to national classification),under observation,
2015,percentage,level of risk of extinction (according to national classification),under observation,46.8
2016,percentage,level of risk of extinction (according to national classification),under observation,
2017,percentage,level of risk of extinction (according to national classification),under observation,46.8
2018,percentage,level of risk of extinction (according to national classification),under observation,
2019,percentage,level of risk of extinction (according to national classification),under observation,45.0
2010,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,
2011,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,24.3
2012,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,
2013,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,20.0
2014,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,
2015,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,18.2
2016,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,
2017,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,16.9
2018,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,
2019,percentage,level of risk of extinction (according to national classification),breeding programs for preservation,17.5
2010,percentage,level of risk of extinction (according to national classification),rudiments remaining,
2011,percentage,level of risk of extinction (according to national classification),rudiments remaining,6.8
2012,percentage,level of risk of extinction (according to national classification),rudiments remaining,
2013,percentage,level of risk of extinction (according to national classification),rudiments remaining,6.7
2014,percentage,level of risk of extinction (according to national classification),rudiments remaining,
2015,percentage,level of risk of extinction (according to national classification),rudiments remaining,6.5
2016,percentage,level of risk of extinction (according to national classification),rudiments remaining,
2017,percentage,level of risk of extinction (according to national classification),rudiments remaining,6.5
2018,percentage,level of risk of extinction (according to national classification),rudiments remaining,
2019,percentage,level of risk of extinction (according to national classification),rudiments remaining,7.5
