Year,conversion,Value
2010,by un factors,
2011,by un factors,11.9
2012,by un factors,11.8
2013,by un factors,11.7
2014,by un factors,11.6
2015,by un factors,11.4
2016,by un factors,11.4
2017,by un factors,11.3
2018,by un factors,11.4
2019,by un factors,11.0
2020,by un factors,10.8
2021,by un factors,10.6
2010,by national factors,
2011,by national factors,11.4
2012,by national factors,11.3
2013,by national factors,11.2
2014,by national factors,11.1
2015,by national factors,10.9
2016,by national factors,10.9
2017,by national factors,10.8
2018,by national factors,10.9
2019,by national factors,10.5
2020,by national factors,10.3
2021,by national factors,10.2
