Year,timeseries,sex,Value
2013,current tobacco use among persons aged 15 years and older,,24.5
2017,current tobacco use among persons aged 15 years and older,,22.4
2021,current tobacco use among persons aged 15 years and older,,18.9
2013,current tobacco use among persons aged 15 years and older,female,20.3
2017,current tobacco use among persons aged 15 years and older,female,18.6
2021,current tobacco use among persons aged 15 years and older,female,15.7
2013,current tobacco use among persons aged 15 years and older,male,29.0
2017,current tobacco use among persons aged 15 years and older,male,26.4
2021,current tobacco use among persons aged 15 years and older,male,22.3
2013,current tobacco use among persons aged 15 years and older (age-standardised to who standard population),,27.6
2017,current tobacco use among persons aged 15 years and older (age-standardised to who standard population),,24.4
2021,current tobacco use among persons aged 15 years and older (age-standardised to who standard population),,20.2
