Year,activities,age group,Value
2010,copying or moving of files and folders,16 to under 75 years,
2011,copying or moving of files and folders,16 to under 75 years,72.0
2012,copying or moving of files and folders,16 to under 75 years,68.0
2013,copying or moving of files and folders,16 to under 75 years,
2014,copying or moving of files and folders,16 to under 75 years,76.0
2015,copying or moving of files and folders,16 to under 75 years,68.0
2016,copying or moving of files and folders,16 to under 75 years,68.0
2017,copying or moving of files and folders,16 to under 75 years,69.0
2018,copying or moving of files and folders,16 to under 75 years,
2019,copying or moving of files and folders,16 to under 75 years,71.0
2020,copying or moving of files and folders,16 to under 75 years,
2021,copying or moving of files and folders,16 to under 75 years,
2010,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,
2011,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,70.0
2012,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,66.0
2013,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,
2014,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,74.0
2015,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,
2016,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,
2017,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,
2018,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,
2019,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,
2020,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,
2021,using copy or cut and paste tools to duplicate or move information on screen,16 to under 75 years,
2010,writing code in a programming language,16 to under 75 years,
2011,writing code in a programming language,16 to under 75 years,
2012,writing code in a programming language,16 to under 75 years,
2013,writing code in a programming language,16 to under 75 years,
2014,writing code in a programming language,16 to under 75 years,
2015,writing code in a programming language,16 to under 75 years,6.0
2016,writing code in a programming language,16 to under 75 years,6.0
2017,writing code in a programming language,16 to under 75 years,6.0
2018,writing code in a programming language,16 to under 75 years,
2019,writing code in a programming language,16 to under 75 years,6.0
2020,writing code in a programming language,16 to under 75 years,
2021,writing code in a programming language,16 to under 75 years,4.6
2010,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,
2011,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,45.0
2012,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,45.0
2013,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,
2014,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,49.0
2015,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,
2016,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,
2017,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,
2018,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,
2019,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,
2020,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,
2021,"connecting and installing new devices, eg a printer or a modem",16 to under 75 years,
2010,transferring files between computer and other devices,16 to under 75 years,
2011,transferring files between computer and other devices,16 to under 75 years,61.0
2012,transferring files between computer and other devices,16 to under 75 years,59.0
2013,transferring files between computer and other devices,16 to under 75 years,
2014,transferring files between computer and other devices,16 to under 75 years,65.0
2015,transferring files between computer and other devices,16 to under 75 years,60.0
2016,transferring files between computer and other devices,16 to under 75 years,62.0
2017,transferring files between computer and other devices,16 to under 75 years,64.0
2018,transferring files between computer and other devices,16 to under 75 years,
2019,transferring files between computer and other devices,16 to under 75 years,66.0
2020,transferring files between computer and other devices,16 to under 75 years,
2021,transferring files between computer and other devices,16 to under 75 years,52.8
2010,installing software or apps,16 to under 75 years,
2011,installing software or apps,16 to under 75 years,
2012,installing software or apps,16 to under 75 years,
2013,installing software or apps,16 to under 75 years,
2014,installing software or apps,16 to under 75 years,
2015,installing software or apps,16 to under 75 years,60.0
2016,installing software or apps,16 to under 75 years,63.0
2017,installing software or apps,16 to under 75 years,62.0
2018,installing software or apps,16 to under 75 years,
2019,installing software or apps,16 to under 75 years,68.0
2020,installing software or apps,16 to under 75 years,
2021,installing software or apps,16 to under 75 years,44.0
2010,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 75 years,
2011,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 75 years,33.0
2012,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 75 years,30.0
2013,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 75 years,
2014,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 75 years,34.0
2015,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 75 years,
2016,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 75 years,
2017,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 75 years,
2018,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 75 years,
