Year,indicator,Value
2010,sdg indicator 4.2.2,1.0
2011,sdg indicator 4.2.2,1.0
2012,sdg indicator 4.2.2,1.0
2013,sdg indicator 4.2.2,1.0
2014,sdg indicator 4.2.2,1.01
2015,sdg indicator 4.2.2,1.01
2016,sdg indicator 4.2.2,1.01
2017,sdg indicator 4.2.2,1.0
2018,sdg indicator 4.2.2,1.0
2019,sdg indicator 4.2.2,1.01
2020,sdg indicator 4.2.2,1.0
2021,sdg indicator 4.2.2,1.0
2010,sdg-indicator 4.3.1 (youths),1.02
2011,sdg-indicator 4.3.1 (youths),1.03
2012,sdg-indicator 4.3.1 (youths),1.02
2013,sdg-indicator 4.3.1 (youths),1.01
2014,sdg-indicator 4.3.1 (youths),1.01
2015,sdg-indicator 4.3.1 (youths),1.01
2016,sdg-indicator 4.3.1 (youths),1.01
2017,sdg-indicator 4.3.1 (youths),1.01
2018,sdg-indicator 4.3.1 (youths),1.03
2019,sdg-indicator 4.3.1 (youths),1.03
2020,sdg-indicator 4.3.1 (youths),1.02
2021,sdg-indicator 4.3.1 (youths),1.04
2010,sdg-indicator 4.3.1 (adults),0.93
2011,sdg-indicator 4.3.1 (adults),0.92
2012,sdg-indicator 4.3.1 (adults),0.94
2013,sdg-indicator 4.3.1 (adults),0.95
2014,sdg-indicator 4.3.1 (adults),0.95
2015,sdg-indicator 4.3.1 (adults),0.95
2016,sdg-indicator 4.3.1 (adults),0.94
2017,sdg-indicator 4.3.1 (adults),0.95
2018,sdg-indicator 4.3.1 (adults),0.95
2019,sdg-indicator 4.3.1 (adults),0.97
2020,sdg-indicator 4.3.1 (adults),0.99
2021,sdg-indicator 4.3.1 (adults),1.01
