Year,Units,mode of transport,Series,Value
2010,million passenger-kilometre,,passenger transport,1117240
2011,million passenger-kilometre,,passenger transport,1131004
2012,million passenger-kilometre,,passenger transport,1135558
2013,million passenger-kilometre,,passenger transport,1143475
2014,million passenger-kilometre,,passenger transport,1162942
2015,million passenger-kilometre,,passenger transport,1180646
2016,million passenger-kilometre,,passenger transport,1204775
2017,million passenger-kilometre,,passenger transport,1155136
2018,million passenger-kilometre,,passenger transport,1161885
2019,million passenger-kilometre,,passenger transport,1170186
2020,million passenger-kilometre,,passenger transport,921930
2021,million passenger-kilometre,,passenger transport,930469
2010,million passenger-kilometre,road transport,passenger transport,78092
2011,million passenger-kilometre,road transport,passenger transport,77957
2012,million passenger-kilometre,road transport,passenger transport,76019
2013,million passenger-kilometre,road transport,passenger transport,76146
2014,million passenger-kilometre,road transport,passenger transport,78786
2015,million passenger-kilometre,road transport,passenger transport,81771
2016,million passenger-kilometre,road transport,passenger transport,81445
2017,million passenger-kilometre,road transport,passenger transport,79730
2018,million passenger-kilometre,road transport,passenger transport,80103
2019,million passenger-kilometre,road transport,passenger transport,78919
2020,million passenger-kilometre,road transport,passenger transport,45741
2021,million passenger-kilometre,road transport,passenger transport,45425
2010,million passenger-kilometre,rail transport,passenger transport,83886
2011,million passenger-kilometre,rail transport,passenger transport,85414
2012,million passenger-kilometre,rail transport,passenger transport,88795
2013,million passenger-kilometre,rail transport,passenger transport,89615
2014,million passenger-kilometre,rail transport,passenger transport,90976
2015,million passenger-kilometre,rail transport,passenger transport,91603
2016,million passenger-kilometre,rail transport,passenger transport,94196
2017,million passenger-kilometre,rail transport,passenger transport,95530
2018,million passenger-kilometre,rail transport,passenger transport,98061
2019,million passenger-kilometre,rail transport,passenger transport,102026
2020,million passenger-kilometre,rail transport,passenger transport,58816
2021,million passenger-kilometre,rail transport,passenger transport,57377
2010,million passenger-kilometre,air transport,passenger transport,52822
2011,million passenger-kilometre,air transport,passenger transport,55215
2012,million passenger-kilometre,air transport,passenger transport,56180
2013,million passenger-kilometre,air transport,passenger transport,56294
2014,million passenger-kilometre,air transport,passenger transport,58223
2015,million passenger-kilometre,air transport,passenger transport,61543
2016,million passenger-kilometre,air transport,passenger transport,63983
2017,million passenger-kilometre,air transport,passenger transport,67523
2018,million passenger-kilometre,air transport,passenger transport,70445
2019,million passenger-kilometre,air transport,passenger transport,71841
2020,million passenger-kilometre,air transport,passenger transport,18704
2021,million passenger-kilometre,air transport,passenger transport,23378
2010,million passenger-kilometre,motorised private transport,passenger transport,902440
2011,million passenger-kilometre,motorised private transport,passenger transport,912417
2012,million passenger-kilometre,motorised private transport,passenger transport,914563
2013,million passenger-kilometre,motorised private transport,passenger transport,921420
2014,million passenger-kilometre,motorised private transport,passenger transport,934957
2015,million passenger-kilometre,motorised private transport,passenger transport,945729
2016,million passenger-kilometre,motorised private transport,passenger transport,965151
2017,million passenger-kilometre,motorised private transport,passenger transport,912353
2018,million passenger-kilometre,motorised private transport,passenger transport,913276
2019,million passenger-kilometre,motorised private transport,passenger transport,917400
2020,million passenger-kilometre,motorised private transport,passenger transport,798669
2021,million passenger-kilometre,motorised private transport,passenger transport,804289
2010,million tonne-kilometres,,freight transport,627882
2011,million tonne-kilometres,,freight transport,628083
2012,million tonne-kilometres,,freight transport,618179
2013,million tonne-kilometres,,freight transport,634973
2014,million tonne-kilometres,,freight transport,642604
2015,million tonne-kilometres,,freight transport,655708
2016,million tonne-kilometres,,freight transport,676893
2017,million tonne-kilometres,,freight transport,692578
2018,million tonne-kilometres,,freight transport,694963
2019,million tonne-kilometres,,freight transport,697942
2020,million tonne-kilometres,,freight transport,671760
2021,million tonne-kilometres,,freight transport,702360
2010,million tonne-kilometres,road transport,freight transport,440600
2011,million tonne-kilometres,road transport,freight transport,442600
2012,million tonne-kilometres,road transport,freight transport,432000
2013,million tonne-kilometres,road transport,freight transport,442700
2014,million tonne-kilometres,road transport,freight transport,451900
2015,million tonne-kilometres,road transport,freight transport,464600
2016,million tonne-kilometres,road transport,freight transport,473400
2017,million tonne-kilometres,road transport,freight transport,486000
2018,million tonne-kilometres,road transport,freight transport,499200
