Year,timeseries,Value
2010,capital to assets ratio,4.3
2011,capital to assets ratio,4.36
2012,capital to assets ratio,4.73
2013,capital to assets ratio,5.45
2014,capital to assets ratio,5.61
2015,capital to assets ratio,5.94
2016,capital to assets ratio,5.98
2017,capital to assets ratio,6.33
2018,capital to assets ratio,6.47
2019,capital to assets ratio,6.31
2020,capital to assets ratio,5.93
2021,capital to assets ratio,5.94
2010,regulatory tier 1 capital to risk-weighted assets,11.83
2011,regulatory tier 1 capital to risk-weighted assets,12.14
2012,regulatory tier 1 capital to risk-weighted assets,14.18
2013,regulatory tier 1 capital to risk-weighted assets,15.57
2014,regulatory tier 1 capital to risk-weighted assets,15.35
2015,regulatory tier 1 capital to risk-weighted assets,15.72
2016,regulatory tier 1 capital to risk-weighted assets,16.28
2017,regulatory tier 1 capital to risk-weighted assets,16.93
2018,regulatory tier 1 capital to risk-weighted assets,16.62
2019,regulatory tier 1 capital to risk-weighted assets,16.54
2020,regulatory tier 1 capital to risk-weighted assets,17.15
2021,regulatory tier 1 capital to risk-weighted assets,16.77
2010,nonperforming loans net of provisions to capital,34.22
2011,nonperforming loans net of provisions to capital,31.63
2012,nonperforming loans net of provisions to capital,27.41
2013,nonperforming loans net of provisions to capital,24.98
2014,nonperforming loans net of provisions to capital,21.28
2015,nonperforming loans net of provisions to capital,17.36
2016,nonperforming loans net of provisions to capital,14.68
2017,nonperforming loans net of provisions to capital,11.89
2018,nonperforming loans net of provisions to capital,9.06
2019,nonperforming loans net of provisions to capital,6.78
2020,nonperforming loans net of provisions to capital,
2021,nonperforming loans net of provisions to capital,
2010,nonperforming loans net of provisions to gross loans,3.2
2011,nonperforming loans net of provisions to gross loans,3.03
2012,nonperforming loans net of provisions to gross loans,2.86
2013,nonperforming loans net of provisions to gross loans,2.7
2014,nonperforming loans net of provisions to gross loans,2.34
2015,nonperforming loans net of provisions to gross loans,1.97
2016,nonperforming loans net of provisions to gross loans,1.71
2017,nonperforming loans net of provisions to gross loans,1.5
2018,nonperforming loans net of provisions to gross loans,1.24
2019,nonperforming loans net of provisions to gross loans,1.05
2020,nonperforming loans net of provisions to gross loans,
2021,nonperforming loans net of provisions to gross loans,
2010,return on assets,0.37
2011,return on assets,0.53
2012,return on assets,0.45
2013,return on assets,0.36
2014,return on assets,0.37
2015,return on assets,0.4
2016,return on assets,0.37
2017,return on assets,0.37
2018,return on assets,0.32
2019,return on assets,0.26
2020,return on assets,0.22
2021,return on assets,
2010,liquid assets to short-term liabilities,136.99
2011,liquid assets to short-term liabilities,137.86
2012,liquid assets to short-term liabilities,144.17
2013,liquid assets to short-term liabilities,140.5
2014,liquid assets to short-term liabilities,145.48
2015,liquid assets to short-term liabilities,146.5
2016,liquid assets to short-term liabilities,146.62
2017,liquid assets to short-term liabilities,151.25
2018,liquid assets to short-term liabilities,151.7
2019,liquid assets to short-term liabilities,161.25
2020,liquid assets to short-term liabilities,169.64
2021,liquid assets to short-term liabilities,170.88
2010,net open position in foreign exchange to capital,4.4
2011,net open position in foreign exchange to capital,4.48
2012,net open position in foreign exchange to capital,3.93
2013,net open position in foreign exchange to capital,3.84
2014,net open position in foreign exchange to capital,3.95
2015,net open position in foreign exchange to capital,4.62
2016,net open position in foreign exchange to capital,4.0
2017,net open position in foreign exchange to capital,3.67
2018,net open position in foreign exchange to capital,3.19
2019,net open position in foreign exchange to capital,3.72
2020,net open position in foreign exchange to capital,3.4
2021,net open position in foreign exchange to capital,4.35
