Year,timeseries,Value
2010,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,69
2011,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,69
2012,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,69
2013,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,69
2014,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,69
2015,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,69
2016,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,69
2017,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,69
2018,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,69
2019,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,70
2020,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,70
2021,terrestrial and freshwater key biodiversity areas (kbas) covered by protected areas,71
2010,terrestrial and freshwater areas covered by protected areas,34
2011,terrestrial and freshwater areas covered by protected areas,34
2012,terrestrial and freshwater areas covered by protected areas,35
2013,terrestrial and freshwater areas covered by protected areas,35
2014,terrestrial and freshwater areas covered by protected areas,35
2015,terrestrial and freshwater areas covered by protected areas,35
2016,terrestrial and freshwater areas covered by protected areas,36
2017,terrestrial and freshwater areas covered by protected areas,36
2018,terrestrial and freshwater areas covered by protected areas,37
2019,terrestrial and freshwater areas covered by protected areas,37
2020,terrestrial and freshwater areas covered by protected areas,37
2021,terrestrial and freshwater areas covered by protected areas,37
