Year,Fläche,Value
2020,Naturschutzgebiete,1258.4
2020,Landschaftsschutzgebiete,1113.4
2020,Gesamt,2371.8
2019,Naturschutzgebiete,1258.7
2019,Landschaftsschutzgebiete,1113.3
2019,Gesamt,2372.0
2018,Naturschutzgebiete,1258.7
2018,Landschaftsschutzgebiete,1111.1
2018,Gesamt,2369.8
2017,Naturschutzgebiete,1258.7
2017,Landschaftsschutzgebiete,1179.8
2017,Gesamt,2438.5
2016,Naturschutzgebiete,1064.7
2016,Landschaftsschutzgebiete,377.8
2016,Gesamt,1442.5
2015,Naturschutzgebiete,1058.2
2015,Landschaftsschutzgebiete,377.8
2015,Gesamt,1436.0
2014,Naturschutzgebiete,1058.2
2014,Landschaftsschutzgebiete,377.8
2014,Gesamt,1436.0
2013,Naturschutzgebiete,1030.2
2013,Landschaftsschutzgebiete,370.1
2013,Gesamt,1400.3
2012,Naturschutzgebiete,1030.2
2012,Landschaftsschutzgebiete,370.1
2012,Gesamt,1400.3
2011,Naturschutzgebiete,1030.2
2011,Landschaftsschutzgebiete,370.1
2011,Gesamt,1400.3
2010,Naturschutzgebiete,1033.2
2010,Landschaftsschutzgebiete,370.1
2010,Gesamt,1403.3
2009,Naturschutzgebiete,1033.2
2009,Landschaftsschutzgebiete,370.1
2009,Gesamt,1403.3
2008,Naturschutzgebiete,1033.2
2008,Landschaftsschutzgebiete,370.1
2008,Gesamt,1403.3
2007,Naturschutzgebiete,998.7
2007,Landschaftsschutzgebiete,370.1
2007,Gesamt,1368.8
2006,Naturschutzgebiete,998.7
2006,Landschaftsschutzgebiete,370.1
2006,Gesamt,1368.8
2005,Naturschutzgebiete,998.7
2005,Landschaftsschutzgebiete,370.1
2005,Gesamt,1368.8
