Year,Units,age group,sex,Value
2010,"per 100,000 inhabitants",,,0.99
2011,"per 100,000 inhabitants",,,0.92
2012,"per 100,000 inhabitants",,,0.82
2013,"per 100,000 inhabitants",,,0.85
2014,"per 100,000 inhabitants",,,0.88
2015,"per 100,000 inhabitants",,,0.83
2016,"per 100,000 inhabitants",,,1.17
2017,"per 100,000 inhabitants",,,0.98
2018,"per 100,000 inhabitants",,,0.95
2019,"per 100,000 inhabitants",,,0.75
2020,"per 100,000 inhabitants",,,0.94
2021,"per 100,000 inhabitants",,,0.84
2010,number,,,793.0
2011,number,,,738.0
2012,number,,,659.0
2013,number,,,682.0
2014,number,,,716.0
2015,number,,,682.0
2016,number,,,963.0
2017,number,,,813.0
2018,number,,,788.0
2019,number,,,623.0
2020,number,,,782.0
2021,number,,,695.0
2010,number,13 years and younger,,77.0
2011,number,13 years and younger,,73.0
2012,number,13 years and younger,,90.0
2013,number,13 years and younger,,66.0
2014,number,13 years and younger,,63.0
2015,number,13 years and younger,,62.0
2016,number,13 years and younger,,68.0
2017,number,13 years and younger,,67.0
2018,number,13 years and younger,,70.0
2019,number,13 years and younger,,46.0
2020,number,13 years and younger,,79.0
2021,number,13 years and younger,,83.0
2010,number,14 to under 18 years,,22.0
2011,number,14 to under 18 years,,27.0
2012,number,14 to under 18 years,,6.0
2013,number,14 to under 18 years,,12.0
2014,number,14 to under 18 years,,15.0
2015,number,14 to under 18 years,,14.0
2016,number,14 to under 18 years,,35.0
2017,number,14 to under 18 years,,4.0
2018,number,14 to under 18 years,,14.0
2019,number,14 to under 18 years,,11.0
2020,number,14 to under 18 years,,12.0
2021,number,14 to under 18 years,,14.0
2010,number,18 to under 21 years,,38.0
2011,number,18 to under 21 years,,29.0
2012,number,18 to under 21 years,,23.0
2013,number,18 to under 21 years,,15.0
2014,number,18 to under 21 years,,20.0
2015,number,18 to under 21 years,,18.0
2016,number,18 to under 21 years,,43.0
2017,number,18 to under 21 years,,16.0
2018,number,18 to under 21 years,,26.0
2019,number,18 to under 21 years,,16.0
2020,number,18 to under 21 years,,21.0
2021,number,18 to under 21 years,,19.0
2010,number,21 to under 60 years,,448.0
2011,number,21 to under 60 years,,424.0
2012,number,21 to under 60 years,,359.0
2013,number,21 to under 60 years,,377.0
2014,number,21 to under 60 years,,405.0
2015,number,21 to under 60 years,,343.0
2016,number,21 to under 60 years,,527.0
2017,number,21 to under 60 years,,414.0
2018,number,21 to under 60 years,,445.0
2019,number,21 to under 60 years,,349.0
2020,number,21 to under 60 years,,378.0
2021,number,21 to under 60 years,,336.0
2010,number,60 years and older,,208.0
2011,number,60 years and older,,185.0
2012,number,60 years and older,,181.0
2013,number,60 years and older,,212.0
