Year,feelings of insecurity,Series,Value
2010,very safe,feeling of (in)security of the population in its neighbourhood (at night),
2011,very safe,feeling of (in)security of the population in its neighbourhood (at night),
2012,very safe,feeling of (in)security of the population in its neighbourhood (at night),41.0
2013,very safe,feeling of (in)security of the population in its neighbourhood (at night),
2014,very safe,feeling of (in)security of the population in its neighbourhood (at night),
2015,very safe,feeling of (in)security of the population in its neighbourhood (at night),
2016,very safe,feeling of (in)security of the population in its neighbourhood (at night),
2017,very safe,feeling of (in)security of the population in its neighbourhood (at night),36.7
2018,very safe,feeling of (in)security of the population in its neighbourhood (at night),
2019,very safe,feeling of (in)security of the population in its neighbourhood (at night),
2020,very safe,feeling of (in)security of the population in its neighbourhood (at night),
2010,safe,feeling of (in)security of the population in its neighbourhood (at night),
2011,safe,feeling of (in)security of the population in its neighbourhood (at night),
2012,safe,feeling of (in)security of the population in its neighbourhood (at night),41.8
2013,safe,feeling of (in)security of the population in its neighbourhood (at night),
2014,safe,feeling of (in)security of the population in its neighbourhood (at night),
2015,safe,feeling of (in)security of the population in its neighbourhood (at night),
2016,safe,feeling of (in)security of the population in its neighbourhood (at night),
2017,safe,feeling of (in)security of the population in its neighbourhood (at night),41.9
2018,safe,feeling of (in)security of the population in its neighbourhood (at night),
2019,safe,feeling of (in)security of the population in its neighbourhood (at night),
2020,safe,feeling of (in)security of the population in its neighbourhood (at night),
2010,unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2011,unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2012,unsafe,feeling of (in)security of the population in its neighbourhood (at night),12.5
2013,unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2014,unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2015,unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2016,unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2017,unsafe,feeling of (in)security of the population in its neighbourhood (at night),15.2
2018,unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2019,unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2020,unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2010,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2011,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2012,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),4.8
2013,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2014,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2015,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2016,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2017,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),6.3
2018,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2019,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2020,very unsafe,feeling of (in)security of the population in its neighbourhood (at night),
2010,,"population not living in an area with crime, violence or vandalism",88.0
2011,,"population not living in an area with crime, violence or vandalism",87.1
2012,,"population not living in an area with crime, violence or vandalism",87.5
2013,,"population not living in an area with crime, violence or vandalism",86.5
2014,,"population not living in an area with crime, violence or vandalism",86.9
2015,,"population not living in an area with crime, violence or vandalism",86.2
2016,,"population not living in an area with crime, violence or vandalism",85.9
2017,,"population not living in an area with crime, violence or vandalism",85.8
2018,,"population not living in an area with crime, violence or vandalism",86.7
2019,,"population not living in an area with crime, violence or vandalism",86.9
2020,,"population not living in an area with crime, violence or vandalism",91.7
