Year,sex,Value
2010,,0.03
2011,,0.03
2012,,0.03
2013,,0.03
2014,,0.03
2015,,0.03
2016,,0.03
2017,,0.03
2018,,0.03
2019,,0.03
2020,,0.02
2021,,0.02
2010,female,0.01
2011,female,0.01
2012,female,0.01
2013,female,0.01
2014,female,0.01
2015,female,0.01
2016,female,0.01
2017,female,0.01
2018,female,0.01
2019,female,0.01
2020,female,0.01
2021,female,0.01
2010,male,0.06
2011,male,0.06
2012,male,0.06
2013,male,0.06
2014,male,0.06
2015,male,0.05
2016,male,0.05
2017,male,0.05
2018,male,0.05
2019,male,0.05
2020,male,0.04
2021,male,0.03
