Year,timeseries,ownership,Value
2010,owned and leased agricultural land,,98.4
2011,owned and leased agricultural land,,
2012,owned and leased agricultural land,,
2013,owned and leased agricultural land,,98.4
2014,owned and leased agricultural land,,
2015,owned and leased agricultural land,,
2016,owned and leased agricultural land,,98.1
2017,owned and leased agricultural land,,
2018,owned and leased agricultural land,,
2019,owned and leased agricultural land,,
2020,owned and leased agricultural land,,98.3
2010,owned and leased agricultural land,property,38.6
2011,owned and leased agricultural land,property,
2012,owned and leased agricultural land,property,
2013,owned and leased agricultural land,property,38.4
2014,owned and leased agricultural land,property,
2015,owned and leased agricultural land,property,
2016,owned and leased agricultural land,property,39.6
2017,owned and leased agricultural land,property,
2018,owned and leased agricultural land,property,
2019,owned and leased agricultural land,property,
2020,owned and leased agricultural land,property,38.2
2010,owned and leased agricultural land,leasehold,59.8
2011,owned and leased agricultural land,leasehold,
2012,owned and leased agricultural land,leasehold,
2013,owned and leased agricultural land,leasehold,60.0
2014,owned and leased agricultural land,leasehold,
2015,owned and leased agricultural land,leasehold,
2016,owned and leased agricultural land,leasehold,58.5
2017,owned and leased agricultural land,leasehold,
2018,owned and leased agricultural land,leasehold,
2019,owned and leased agricultural land,leasehold,
2020,owned and leased agricultural land,leasehold,60.1
2010,female owners of agricultural holdings with the legal form of a sole proprietorship,,8.4
2011,female owners of agricultural holdings with the legal form of a sole proprietorship,,
2012,female owners of agricultural holdings with the legal form of a sole proprietorship,,
2013,female owners of agricultural holdings with the legal form of a sole proprietorship,,8.6
2014,female owners of agricultural holdings with the legal form of a sole proprietorship,,
2015,female owners of agricultural holdings with the legal form of a sole proprietorship,,
2016,female owners of agricultural holdings with the legal form of a sole proprietorship,,9.6
2017,female owners of agricultural holdings with the legal form of a sole proprietorship,,
2018,female owners of agricultural holdings with the legal form of a sole proprietorship,,
2019,female owners of agricultural holdings with the legal form of a sole proprietorship,,
2020,female owners of agricultural holdings with the legal form of a sole proprietorship,,10.9
2010,agricultural holdings with the legal form of a sole proprietorship,,91.3
2011,agricultural holdings with the legal form of a sole proprietorship,,
2012,agricultural holdings with the legal form of a sole proprietorship,,
2013,agricultural holdings with the legal form of a sole proprietorship,,89.8
2014,agricultural holdings with the legal form of a sole proprietorship,,
2015,agricultural holdings with the legal form of a sole proprietorship,,
2016,agricultural holdings with the legal form of a sole proprietorship,,88.6
2017,agricultural holdings with the legal form of a sole proprietorship,,
2018,agricultural holdings with the legal form of a sole proprietorship,,
2019,agricultural holdings with the legal form of a sole proprietorship,,
2020,agricultural holdings with the legal form of a sole proprietorship,,87.0
