Year,timeseries,availability,Value
2010,population with (own) toilet,yes,98.4
2011,population with (own) toilet,yes,99.1
2012,population with (own) toilet,yes,99.1
2013,population with (own) toilet,yes,99.9
2014,population with (own) toilet,yes,100.0
2015,population with (own) toilet,yes,99.9
2016,population with (own) toilet,yes,99.9
2017,population with (own) toilet,yes,99.9
2018,population with (own) toilet,yes,100.0
2019,population with (own) toilet,yes,99.8
2020,population with (own) toilet,yes,100.0
2010,population with (own) bathtub or shower,yes,99.5
2011,population with (own) bathtub or shower,yes,99.9
2012,population with (own) bathtub or shower,yes,99.9
2013,population with (own) bathtub or shower,yes,100.0
2014,population with (own) bathtub or shower,yes,100.0
2015,population with (own) bathtub or shower,yes,100.0
2016,population with (own) bathtub or shower,yes,100.0
2017,population with (own) bathtub or shower,yes,100.0
2018,population with (own) bathtub or shower,yes,100.0
2019,population with (own) bathtub or shower,yes,100.0
2020,population with (own) bathtub or shower,yes,100.0
2010,population with (own) toilet,no,1.6
2011,population with (own) toilet,no,0.9
2012,population with (own) toilet,no,0.9
2013,population with (own) toilet,no,0.1
2014,population with (own) toilet,no,0.0
2015,population with (own) toilet,no,0.1
2016,population with (own) toilet,no,0.1
2017,population with (own) toilet,no,0.1
2018,population with (own) toilet,no,0.0
2019,population with (own) toilet,no,0.2
2020,population with (own) toilet,no,0.0
2010,population with (own) bathtub or shower,no,0.5
2011,population with (own) bathtub or shower,no,0.1
2012,population with (own) bathtub or shower,no,0.1
2013,population with (own) bathtub or shower,no,0.0
2014,population with (own) bathtub or shower,no,0.0
2015,population with (own) bathtub or shower,no,0.0
2016,population with (own) bathtub or shower,no,0.0
2017,population with (own) bathtub or shower,no,0.0
2018,population with (own) bathtub or shower,no,0.0
2019,population with (own) bathtub or shower,no,0.0
2020,population with (own) bathtub or shower,no,0.0
