Year,age group,sex,Value
2010,,,7.0
2011,,,5.8
2012,,,5.4
2013,,,5.2
2014,,,5.0
2015,,,4.6
2016,,,4.1
2017,,,3.8
2018,,,3.4
2019,,,3.1
2020,,,3.9
2021,,,3.6
2010,15 to under 25 years,,9.8
2011,15 to under 25 years,,8.5
2012,15 to under 25 years,,8.0
2013,15 to under 25 years,,7.8
2014,15 to under 25 years,,7.7
2015,15 to under 25 years,,7.2
2016,15 to under 25 years,,7.1
2017,15 to under 25 years,,6.8
2018,15 to under 25 years,,6.2
2019,15 to under 25 years,,5.8
2020,15 to under 25 years,,7.1
2021,15 to under 25 years,,6.9
2010,25 to under 75 years,,6.6
2011,25 to under 75 years,,5.5
2012,25 to under 75 years,,5.1
2013,25 to under 75 years,,4.9
2014,25 to under 75 years,,4.7
2015,25 to under 75 years,,4.4
2016,25 to under 75 years,,3.8
2017,25 to under 75 years,,3.4
2018,25 to under 75 years,,3.1
2019,25 to under 75 years,,2.9
2020,25 to under 75 years,,3.5
2021,25 to under 75 years,,3.2
2010,,female,6.5
2011,,female,5.6
2012,,female,5.2
2013,,female,4.9
2014,,female,4.6
2015,,female,4.2
2016,,female,3.8
2017,,female,3.3
2018,,female,2.9
2019,,female,2.7
2020,,female,3.4
2021,,female,3.2
2010,,male,7.4
2011,,male,6.1
2012,,male,5.6
2013,,male,5.5
2014,,male,5.3
2015,,male,5.0
2016,,male,4.5
2017,,male,4.1
2018,,male,3.8
2019,,male,3.5
2020,,male,4.2
2021,,male,3.9
2010,15 to under 25 years,female,8.8
2011,15 to under 25 years,female,7.8
2012,15 to under 25 years,female,7.3
2013,15 to under 25 years,female,7.1
2014,15 to under 25 years,female,7.1
2015,15 to under 25 years,female,6.5
2016,15 to under 25 years,female,6.1
2017,15 to under 25 years,female,5.8
2018,15 to under 25 years,female,5.1
2019,15 to under 25 years,female,4.8
2020,15 to under 25 years,female,6.7
2021,15 to under 25 years,female,6.4
2010,15 to under 25 years,male,10.7
2011,15 to under 25 years,male,9.2
2012,15 to under 25 years,male,8.7
2013,15 to under 25 years,male,8.5
2014,15 to under 25 years,male,8.3
2015,15 to under 25 years,male,7.9
2016,15 to under 25 years,male,7.8
2017,15 to under 25 years,male,7.6
2018,15 to under 25 years,male,7.1
2019,15 to under 25 years,male,6.6
2020,15 to under 25 years,male,7.5
2021,15 to under 25 years,male,7.3
2010,25 to under 75 years,female,6.2
2011,25 to under 75 years,female,5.3
2012,25 to under 75 years,female,4.9
2013,25 to under 75 years,female,4.7
2014,25 to under 75 years,female,4.4
2015,25 to under 75 years,female,4.0
2016,25 to under 75 years,female,3.5
2017,25 to under 75 years,female,3.1
2018,25 to under 75 years,female,2.7
2019,25 to under 75 years,female,2.5
2020,25 to under 75 years,female,3.1
2021,25 to under 75 years,female,2.8
2010,25 to under 75 years,male,7.0
2011,25 to under 75 years,male,5.7
2012,25 to under 75 years,male,5.2
2013,25 to under 75 years,male,5.2
2014,25 to under 75 years,male,5.0
2015,25 to under 75 years,male,4.7
2016,25 to under 75 years,male,4.1
2017,25 to under 75 years,male,3.8
2018,25 to under 75 years,male,3.4
2019,25 to under 75 years,male,3.2
2020,25 to under 75 years,male,3.9
2021,25 to under 75 years,male,3.5
