Year,timeseries,age group,sex,Value
2010,victims of physical harassment,,,28870
2011,victims of physical harassment,,,26876
2012,victims of physical harassment,,,26360
2013,victims of physical harassment,,,25517
2014,victims of physical harassment,,,23303
2015,victims of physical harassment,,,21070
2016,victims of physical harassment,,,19949
2017,victims of physical harassment,,,29980
2018,victims of physical harassment,,,34907
2019,victims of physical harassment,,,34643
2020,victims of physical harassment,,,34666
2021,victims of physical harassment,,,35926
2010,victims of physical harassment,,female,22909
2011,victims of physical harassment,,female,21414
2012,victims of physical harassment,,female,21217
2013,victims of physical harassment,,female,20455
2014,victims of physical harassment,,female,18682
2015,victims of physical harassment,,female,16941
2016,victims of physical harassment,,female,16115
2017,victims of physical harassment,,female,25609
2018,victims of physical harassment,,female,30104
2019,victims of physical harassment,,female,29838
2020,victims of physical harassment,,female,29557
2021,victims of physical harassment,,female,30472
2010,victims of physical harassment,,male,5961
2011,victims of physical harassment,,male,5462
2012,victims of physical harassment,,male,5143
2013,victims of physical harassment,,male,5062
2014,victims of physical harassment,,male,4621
2015,victims of physical harassment,,male,4129
2016,victims of physical harassment,,male,3834
2017,victims of physical harassment,,male,4371
2018,victims of physical harassment,,male,4803
2019,victims of physical harassment,,male,4805
2020,victims of physical harassment,,male,5109
2021,victims of physical harassment,,male,5454
2010,victims of physical harassment,13 years and younger,,443
2011,victims of physical harassment,13 years and younger,,416
2012,victims of physical harassment,13 years and younger,,432
2013,victims of physical harassment,13 years and younger,,427
2014,victims of physical harassment,13 years and younger,,377
2015,victims of physical harassment,13 years and younger,,343
2016,victims of physical harassment,13 years and younger,,336
2017,victims of physical harassment,13 years and younger,,1122
2018,victims of physical harassment,13 years and younger,,1568
2019,victims of physical harassment,13 years and younger,,1675
2020,victims of physical harassment,13 years and younger,,1503
2021,victims of physical harassment,13 years and younger,,1546
2010,victims of physical harassment,13 years and younger,female,272
2011,victims of physical harassment,13 years and younger,female,263
2012,victims of physical harassment,13 years and younger,female,310
2013,victims of physical harassment,13 years and younger,female,273
2014,victims of physical harassment,13 years and younger,female,260
2015,victims of physical harassment,13 years and younger,female,221
2016,victims of physical harassment,13 years and younger,female,221
2017,victims of physical harassment,13 years and younger,female,901
2018,victims of physical harassment,13 years and younger,female,1335
2019,victims of physical harassment,13 years and younger,female,1380
2020,victims of physical harassment,13 years and younger,female,1175
2021,victims of physical harassment,13 years and younger,female,1243
2010,victims of physical harassment,13 years and younger,male,171
2011,victims of physical harassment,13 years and younger,male,153
2012,victims of physical harassment,13 years and younger,male,122
2013,victims of physical harassment,13 years and younger,male,154
2014,victims of physical harassment,13 years and younger,male,117
2015,victims of physical harassment,13 years and younger,male,122
2016,victims of physical harassment,13 years and younger,male,115
2017,victims of physical harassment,13 years and younger,male,221
2018,victims of physical harassment,13 years and younger,male,233
2019,victims of physical harassment,13 years and younger,male,295
2020,victims of physical harassment,13 years and younger,male,328
2021,victims of physical harassment,13 years and younger,male,303
2010,victims of physical harassment,14 to under 18 years,,1289
2011,victims of physical harassment,14 to under 18 years,,1227
2012,victims of physical harassment,14 to under 18 years,,1101
2013,victims of physical harassment,14 to under 18 years,,1143
2014,victims of physical harassment,14 to under 18 years,,1063
2015,victims of physical harassment,14 to under 18 years,,817
2016,victims of physical harassment,14 to under 18 years,,806
2017,victims of physical harassment,14 to under 18 years,,3347
2018,victims of physical harassment,14 to under 18 years,,4355
2019,victims of physical harassment,14 to under 18 years,,4414
2020,victims of physical harassment,14 to under 18 years,,4043
2021,victims of physical harassment,14 to under 18 years,,4177
2010,victims of physical harassment,14 to under 18 years,female,1132
2011,victims of physical harassment,14 to under 18 years,female,1087
2012,victims of physical harassment,14 to under 18 years,female,991
2013,victims of physical harassment,14 to under 18 years,female,1015
2014,victims of physical harassment,14 to under 18 years,female,943
2015,victims of physical harassment,14 to under 18 years,female,716
2016,victims of physical harassment,14 to under 18 years,female,710
2017,victims of physical harassment,14 to under 18 years,female,3085
2018,victims of physical harassment,14 to under 18 years,female,4033
2019,victims of physical harassment,14 to under 18 years,female,4051
2020,victims of physical harassment,14 to under 18 years,female,3680
2021,victims of physical harassment,14 to under 18 years,female,3814
2010,victims of physical harassment,14 to under 18 years,male,157
2011,victims of physical harassment,14 to under 18 years,male,140
2012,victims of physical harassment,14 to under 18 years,male,110
2013,victims of physical harassment,14 to under 18 years,male,128
2014,victims of physical harassment,14 to under 18 years,male,120
2015,victims of physical harassment,14 to under 18 years,male,101
2016,victims of physical harassment,14 to under 18 years,male,96
2017,victims of physical harassment,14 to under 18 years,male,262
2018,victims of physical harassment,14 to under 18 years,male,322
2019,victims of physical harassment,14 to under 18 years,male,363
2020,victims of physical harassment,14 to under 18 years,male,363
2021,victims of physical harassment,14 to under 18 years,male,363
2010,victims of physical harassment,18 to under 21 years,,2467
2011,victims of physical harassment,18 to under 21 years,,2202
2012,victims of physical harassment,18 to under 21 years,,2036
2013,victims of physical harassment,18 to under 21 years,,1769
2014,victims of physical harassment,18 to under 21 years,,1654
2015,victims of physical harassment,18 to under 21 years,,1402
2016,victims of physical harassment,18 to under 21 years,,1253
2017,victims of physical harassment,18 to under 21 years,,2956
2018,victims of physical harassment,18 to under 21 years,,3815
2019,victims of physical harassment,18 to under 21 years,,3569
2020,victims of physical harassment,18 to under 21 years,,3541
2021,victims of physical harassment,18 to under 21 years,,3722
2010,victims of physical harassment,18 to under 21 years,female,2185
2011,victims of physical harassment,18 to under 21 years,female,1946
2012,victims of physical harassment,18 to under 21 years,female,1804
2013,victims of physical harassment,18 to under 21 years,female,1586
2014,victims of physical harassment,18 to under 21 years,female,1477
2015,victims of physical harassment,18 to under 21 years,female,1265
2016,victims of physical harassment,18 to under 21 years,female,1136
2017,victims of physical harassment,18 to under 21 years,female,2763
2018,victims of physical harassment,18 to under 21 years,female,3522
2019,victims of physical harassment,18 to under 21 years,female,3290
2020,victims of physical harassment,18 to under 21 years,female,3268
2021,victims of physical harassment,18 to under 21 years,female,3414
2010,victims of physical harassment,18 to under 21 years,male,282
2011,victims of physical harassment,18 to under 21 years,male,256
2012,victims of physical harassment,18 to under 21 years,male,232
2013,victims of physical harassment,18 to under 21 years,male,183
2014,victims of physical harassment,18 to under 21 years,male,177
2015,victims of physical harassment,18 to under 21 years,male,137
2016,victims of physical harassment,18 to under 21 years,male,117
2017,victims of physical harassment,18 to under 21 years,male,193
2018,victims of physical harassment,18 to under 21 years,male,293
2019,victims of physical harassment,18 to under 21 years,male,279
2020,victims of physical harassment,18 to under 21 years,male,273
2021,victims of physical harassment,18 to under 21 years,male,308
2010,victims of physical harassment,21 to under 60 years,,23019
2011,victims of physical harassment,21 to under 60 years,,21536
2012,victims of physical harassment,21 to under 60 years,,21296
2013,victims of physical harassment,21 to under 60 years,,20738
2014,victims of physical harassment,21 to under 60 years,,18814
2015,victims of physical harassment,21 to under 60 years,,17239
2016,victims of physical harassment,21 to under 60 years,,16303
2017,victims of physical harassment,21 to under 60 years,,21108
2018,victims of physical harassment,21 to under 60 years,,23526
2019,victims of physical harassment,21 to under 60 years,,23340
2020,victims of physical harassment,21 to under 60 years,,23889
2021,victims of physical harassment,21 to under 60 years,,24682
2010,victims of physical harassment,21 to under 60 years,female,18342
2011,victims of physical harassment,21 to under 60 years,female,17238
2012,victims of physical harassment,21 to under 60 years,female,17207
2013,victims of physical harassment,21 to under 60 years,female,16679
2014,victims of physical harassment,21 to under 60 years,female,15118
2015,victims of physical harassment,21 to under 60 years,female,13916
2016,victims of physical harassment,21 to under 60 years,female,13260
2017,victims of physical harassment,21 to under 60 years,female,17822
2018,victims of physical harassment,21 to under 60 years,female,20058
2019,victims of physical harassment,21 to under 60 years,female,19927
2020,victims of physical harassment,21 to under 60 years,female,20226
2021,victims of physical harassment,21 to under 60 years,female,20754
2010,victims of physical harassment,21 to under 60 years,male,4677
2011,victims of physical harassment,21 to under 60 years,male,4298
2012,victims of physical harassment,21 to under 60 years,male,4089
2013,victims of physical harassment,21 to under 60 years,male,4059
2014,victims of physical harassment,21 to under 60 years,male,3696
2015,victims of physical harassment,21 to under 60 years,male,3323
2016,victims of physical harassment,21 to under 60 years,male,3043
2017,victims of physical harassment,21 to under 60 years,male,3286
2018,victims of physical harassment,21 to under 60 years,male,3468
2019,victims of physical harassment,21 to under 60 years,male,3413
2020,victims of physical harassment,21 to under 60 years,male,3663
2021,victims of physical harassment,21 to under 60 years,male,3928
2010,victims of physical harassment,60 years and older,,1652
2011,victims of physical harassment,60 years and older,,1495
2012,victims of physical harassment,60 years and older,,1495
2013,victims of physical harassment,60 years and older,,1440
2014,victims of physical harassment,60 years and older,,1395
2015,victims of physical harassment,60 years and older,,1269
2016,victims of physical harassment,60 years and older,,1251
2017,victims of physical harassment,60 years and older,,1447
2018,victims of physical harassment,60 years and older,,1643
2019,victims of physical harassment,60 years and older,,1645
2020,victims of physical harassment,60 years and older,,1690
2021,victims of physical harassment,60 years and older,,1799
2010,victims of physical harassment,60 years and older,female,978
2011,victims of physical harassment,60 years and older,female,880
2012,victims of physical harassment,60 years and older,female,905
2013,victims of physical harassment,60 years and older,female,902
2014,victims of physical harassment,60 years and older,female,884
2015,victims of physical harassment,60 years and older,female,823
2016,victims of physical harassment,60 years and older,female,788
2017,victims of physical harassment,60 years and older,female,1038
2018,victims of physical harassment,60 years and older,female,1156
2019,victims of physical harassment,60 years and older,female,1190
2020,victims of physical harassment,60 years and older,female,1208
2021,victims of physical harassment,60 years and older,female,1247
2010,victims of physical harassment,60 years and older,male,674
2011,victims of physical harassment,60 years and older,male,615
2012,victims of physical harassment,60 years and older,male,590
2013,victims of physical harassment,60 years and older,male,538
2014,victims of physical harassment,60 years and older,male,511
2015,victims of physical harassment,60 years and older,male,446
2016,victims of physical harassment,60 years and older,male,463
2017,victims of physical harassment,60 years and older,male,409
2018,victims of physical harassment,60 years and older,male,487
2019,victims of physical harassment,60 years and older,male,455
2020,victims of physical harassment,60 years and older,male,482
2021,victims of physical harassment,60 years and older,male,552
2010,victims of sexual harassment,,,7523
2011,victims of sexual harassment,,,8011
2012,victims of sexual harassment,,,8306
2013,victims of sexual harassment,,,8161
2014,victims of sexual harassment,,,8356
2015,victims of sexual harassment,,,8262
2016,victims of sexual harassment,,,8599
2017,victims of sexual harassment,,,8395
2018,victims of sexual harassment,,,8872
2019,victims of sexual harassment,,,8069
2020,victims of sexual harassment,,,9333
2021,victims of sexual harassment,,,9051
2010,victims of sexual harassment,,female,6624
2011,victims of sexual harassment,,female,7050
2012,victims of sexual harassment,,female,7400
2013,victims of sexual harassment,,female,7269
2014,victims of sexual harassment,,female,7381
2015,victims of sexual harassment,,female,7296
2016,victims of sexual harassment,,female,7525
2017,victims of sexual harassment,,female,7314
2018,victims of sexual harassment,,female,7680
2019,victims of sexual harassment,,female,6875
2020,victims of sexual harassment,,female,7980
2021,victims of sexual harassment,,female,7688
2010,victims of sexual harassment,,male,899
2011,victims of sexual harassment,,male,961
2012,victims of sexual harassment,,male,906
2013,victims of sexual harassment,,male,892
2014,victims of sexual harassment,,male,975
2015,victims of sexual harassment,,male,966
2016,victims of sexual harassment,,male,1074
2017,victims of sexual harassment,,male,1081
2018,victims of sexual harassment,,male,1192
2019,victims of sexual harassment,,male,1194
2020,victims of sexual harassment,,male,1353
2021,victims of sexual harassment,,male,1363
2010,victims of sexual harassment,13 years and younger,,0
2011,victims of sexual harassment,13 years and younger,,0
2012,victims of sexual harassment,13 years and younger,,0
2013,victims of sexual harassment,13 years and younger,,0
2014,victims of sexual harassment,13 years and younger,,0
2015,victims of sexual harassment,13 years and younger,,0
2016,victims of sexual harassment,13 years and younger,,0
2017,victims of sexual harassment,13 years and younger,,3
2018,victims of sexual harassment,13 years and younger,,4
2019,victims of sexual harassment,13 years and younger,,5
2020,victims of sexual harassment,13 years and younger,,2
2021,victims of sexual harassment,13 years and younger,,49
2010,victims of sexual harassment,13 years and younger,female,0
2011,victims of sexual harassment,13 years and younger,female,0
2012,victims of sexual harassment,13 years and younger,female,0
2013,victims of sexual harassment,13 years and younger,female,0
2014,victims of sexual harassment,13 years and younger,female,0
2015,victims of sexual harassment,13 years and younger,female,0
2016,victims of sexual harassment,13 years and younger,female,0
2017,victims of sexual harassment,13 years and younger,female,2
2018,victims of sexual harassment,13 years and younger,female,3
2019,victims of sexual harassment,13 years and younger,female,5
2020,victims of sexual harassment,13 years and younger,female,1
2021,victims of sexual harassment,13 years and younger,female,33
2010,victims of sexual harassment,13 years and younger,male,0
2011,victims of sexual harassment,13 years and younger,male,0
2012,victims of sexual harassment,13 years and younger,male,0
2013,victims of sexual harassment,13 years and younger,male,0
2014,victims of sexual harassment,13 years and younger,male,0
2015,victims of sexual harassment,13 years and younger,male,0
2016,victims of sexual harassment,13 years and younger,male,0
2017,victims of sexual harassment,13 years and younger,male,1
2018,victims of sexual harassment,13 years and younger,male,1
2019,victims of sexual harassment,13 years and younger,male,0
2020,victims of sexual harassment,13 years and younger,male,1
2021,victims of sexual harassment,13 years and younger,male,16
2010,victims of sexual harassment,14 to under 18 years,,1267
2011,victims of sexual harassment,14 to under 18 years,,1362
2012,victims of sexual harassment,14 to under 18 years,,1356
2013,victims of sexual harassment,14 to under 18 years,,1384
2014,victims of sexual harassment,14 to under 18 years,,1368
2015,victims of sexual harassment,14 to under 18 years,,1245
2016,victims of sexual harassment,14 to under 18 years,,1149
2017,victims of sexual harassment,14 to under 18 years,,1118
2018,victims of sexual harassment,14 to under 18 years,,1133
2019,victims of sexual harassment,14 to under 18 years,,941
2020,victims of sexual harassment,14 to under 18 years,,1072
2021,victims of sexual harassment,14 to under 18 years,,1075
2010,victims of sexual harassment,14 to under 18 years,female,1112
2011,victims of sexual harassment,14 to under 18 years,female,1217
2012,victims of sexual harassment,14 to under 18 years,female,1221
2013,victims of sexual harassment,14 to under 18 years,female,1235
2014,victims of sexual harassment,14 to under 18 years,female,1228
2015,victims of sexual harassment,14 to under 18 years,female,1151
2016,victims of sexual harassment,14 to under 18 years,female,1024
2017,victims of sexual harassment,14 to under 18 years,female,969
2018,victims of sexual harassment,14 to under 18 years,female,981
2019,victims of sexual harassment,14 to under 18 years,female,821
2020,victims of sexual harassment,14 to under 18 years,female,933
2021,victims of sexual harassment,14 to under 18 years,female,941
2010,victims of sexual harassment,14 to under 18 years,male,155
2011,victims of sexual harassment,14 to under 18 years,male,145
2012,victims of sexual harassment,14 to under 18 years,male,135
2013,victims of sexual harassment,14 to under 18 years,male,149
2014,victims of sexual harassment,14 to under 18 years,male,140
2015,victims of sexual harassment,14 to under 18 years,male,94
2016,victims of sexual harassment,14 to under 18 years,male,125
2017,victims of sexual harassment,14 to under 18 years,male,149
2018,victims of sexual harassment,14 to under 18 years,male,152
2019,victims of sexual harassment,14 to under 18 years,male,120
2020,victims of sexual harassment,14 to under 18 years,male,139
2021,victims of sexual harassment,14 to under 18 years,male,134
2010,victims of sexual harassment,18 to under 21 years,,796
2011,victims of sexual harassment,18 to under 21 years,,811
2012,victims of sexual harassment,18 to under 21 years,,808
2013,victims of sexual harassment,18 to under 21 years,,752
2014,victims of sexual harassment,18 to under 21 years,,809
2015,victims of sexual harassment,18 to under 21 years,,803
2016,victims of sexual harassment,18 to under 21 years,,776
2017,victims of sexual harassment,18 to under 21 years,,942
2018,victims of sexual harassment,18 to under 21 years,,885
2019,victims of sexual harassment,18 to under 21 years,,729
2020,victims of sexual harassment,18 to under 21 years,,974
2021,victims of sexual harassment,18 to under 21 years,,885
2010,victims of sexual harassment,18 to under 21 years,female,728
2011,victims of sexual harassment,18 to under 21 years,female,747
2012,victims of sexual harassment,18 to under 21 years,female,752
2013,victims of sexual harassment,18 to under 21 years,female,694
2014,victims of sexual harassment,18 to under 21 years,female,754
2015,victims of sexual harassment,18 to under 21 years,female,740
2016,victims of sexual harassment,18 to under 21 years,female,702
2017,victims of sexual harassment,18 to under 21 years,female,868
2018,victims of sexual harassment,18 to under 21 years,female,788
2019,victims of sexual harassment,18 to under 21 years,female,644
2020,victims of sexual harassment,18 to under 21 years,female,881
2021,victims of sexual harassment,18 to under 21 years,female,791
2010,victims of sexual harassment,18 to under 21 years,male,68
2011,victims of sexual harassment,18 to under 21 years,male,64
2012,victims of sexual harassment,18 to under 21 years,male,56
2013,victims of sexual harassment,18 to under 21 years,male,58
2014,victims of sexual harassment,18 to under 21 years,male,55
2015,victims of sexual harassment,18 to under 21 years,male,63
2016,victims of sexual harassment,18 to under 21 years,male,74
2017,victims of sexual harassment,18 to under 21 years,male,74
2018,victims of sexual harassment,18 to under 21 years,male,97
2019,victims of sexual harassment,18 to under 21 years,male,85
2020,victims of sexual harassment,18 to under 21 years,male,93
2021,victims of sexual harassment,18 to under 21 years,male,94
2010,victims of sexual harassment,21 to under 60 years,,4797
