Year,Units,timeseries,Value
2010,number,at least one population and housing census in the last 10 years conducted,0
2011,number,at least one population and housing census in the last 10 years conducted,1
2012,number,at least one population and housing census in the last 10 years conducted,1
2013,number,at least one population and housing census in the last 10 years conducted,1
2014,number,at least one population and housing census in the last 10 years conducted,1
2015,number,at least one population and housing census in the last 10 years conducted,1
2016,number,at least one population and housing census in the last 10 years conducted,1
2017,number,at least one population and housing census in the last 10 years conducted,1
2018,number,at least one population and housing census in the last 10 years conducted,1
2019,number,at least one population and housing census in the last 10 years conducted,1
2020,number,at least one population and housing census in the last 10 years conducted,1
2021,number,at least one population and housing census in the last 10 years conducted,0
2022,number,at least one population and housing census in the last 10 years conducted,1
2010,percentage,birth registration,100
2011,percentage,birth registration,100
2012,percentage,birth registration,100
2013,percentage,birth registration,100
2014,percentage,birth registration,100
2015,percentage,birth registration,100
2016,percentage,birth registration,100
2017,percentage,birth registration,100
2018,percentage,birth registration,100
2019,percentage,birth registration,100
2020,percentage,birth registration,100
2021,percentage,birth registration,100
2022,percentage,birth registration,100
2010,percentage,death registration,100
2011,percentage,death registration,100
2012,percentage,death registration,100
2013,percentage,death registration,100
2014,percentage,death registration,100
2015,percentage,death registration,100
2016,percentage,death registration,100
2017,percentage,death registration,100
2018,percentage,death registration,100
2019,percentage,death registration,100
2020,percentage,death registration,100
2021,percentage,death registration,100
2022,percentage,death registration,100
