Year,type of disease,Value
2010,a) cardiovascular disease,45.0
2011,a) cardiovascular disease,41.8
2012,a) cardiovascular disease,41.3
2013,a) cardiovascular disease,41.4
2014,a) cardiovascular disease,40.0
2015,a) cardiovascular disease,42.3
2016,a) cardiovascular disease,41.6
2017,a) cardiovascular disease,40.9
2018,a) cardiovascular disease,41.8
2019,a) cardiovascular disease,39.8
2020,a) cardiovascular disease,40.7
2021,a) cardiovascular disease,41.9
2010,b) cancer,77.9
2011,b) cancer,76.9
2012,b) cancer,75.0
2013,b) cancer,75.0
2014,b) cancer,73.2
2015,b) cancer,74.7
2016,b) cancer,76.4
2017,b) cancer,75.4
2018,b) cancer,76.1
2019,b) cancer,74.7
2020,b) cancer,74.2
2021,b) cancer,72.9
2010,c) diabetes mellitus,3.5
2011,c) diabetes mellitus,3.4
2012,c) diabetes mellitus,3.4
2013,c) diabetes mellitus,3.5
2014,c) diabetes mellitus,3.3
2015,c) diabetes mellitus,3.6
2016,c) diabetes mellitus,3.5
2017,c) diabetes mellitus,3.8
2018,c) diabetes mellitus,3.8
2019,c) diabetes mellitus,3.7
2020,c) diabetes mellitus,3.8
2021,c) diabetes mellitus,3.9
2010,d) chronic respiratory disease,7.4
2011,d) chronic respiratory disease,7.5
2012,d) chronic respiratory disease,7.1
2013,d) chronic respiratory disease,8.0
2014,d) chronic respiratory disease,7.6
2015,d) chronic respiratory disease,8.7
2016,d) chronic respiratory disease,8.8
2017,d) chronic respiratory disease,9.4
2018,d) chronic respiratory disease,9.7
2019,d) chronic respiratory disease,9.7
2020,d) chronic respiratory disease,10.7
2021,d) chronic respiratory disease,
