Year,Units,Value
2010,million eur,139.9
2011,million eur,93.8
2012,million eur,117.9
2013,million eur,180.2
2014,million eur,198.9
2015,million eur,256.6
2016,million eur,310.9
2017,million eur,380.0
2018,million eur,408.6
2019,million eur,449.8
2020,million eur,1494.2
2010,"million usd, constant prices (2020)",188.2
2011,"million usd, constant prices (2020)",124.8
2012,"million usd, constant prices (2020)",154.6
2013,"million usd, constant prices (2020)",231.7
2014,"million usd, constant prices (2020)",251.1
2015,"million usd, constant prices (2020)",318.0
2016,"million usd, constant prices (2020)",380.3
2017,"million usd, constant prices (2020)",457.8
2018,"million usd, constant prices (2020)",482.8
2019,"million usd, constant prices (2020)",520.7
2020,"million usd, constant prices (2020)",1702.7
