Year,population,Value
2010,population total,1.9
2011,population total,-0.4
2012,population total,2.0
2013,population total,2.4
2014,population total,0.7
2015,population total,4.4
2016,population total,1.9
2017,population total,3.1
2018,population total,4.7
2019,population total,1.3
2020,population total,13.2
2021,population total,-2.2
2010,poorest 40 percent of the population,2.4
2011,poorest 40 percent of the population,-1.0
2012,poorest 40 percent of the population,3.8
2013,poorest 40 percent of the population,1.1
2014,poorest 40 percent of the population,-2.0
2015,poorest 40 percent of the population,5.5
2016,poorest 40 percent of the population,3.1
2017,poorest 40 percent of the population,4.4
2018,poorest 40 percent of the population,3.3
2019,poorest 40 percent of the population,4.6
2020,poorest 40 percent of the population,8.3
2021,poorest 40 percent of the population,-4.4
