Year,Units,timeseries,fields of work,level of court,Value
2010,percentage,working-age population,,,49.5
2011,percentage,working-age population,,,49.8
2012,percentage,working-age population,,,49.8
2013,percentage,working-age population,,,49.7
2014,percentage,working-age population,,,49.6
2015,percentage,working-age population,,,49.4
2016,percentage,working-age population,,,49.4
2017,percentage,working-age population,,,49.4
2018,percentage,working-age population,,,49.4
2019,percentage,working-age population,,,49.4
2020,percentage,working-age population,,,49.4
2021,percentage,working-age population,,,49.4
2022,percentage,working-age population,,,
2010,percentage,german bundestag (lower chamber),,,32.8
2011,percentage,german bundestag (lower chamber),,,33.1
2012,percentage,german bundestag (lower chamber),,,32.9
2013,percentage,german bundestag (lower chamber),,,32.9
2014,percentage,german bundestag (lower chamber),,,36.5
2015,percentage,german bundestag (lower chamber),,,36.3
2016,percentage,german bundestag (lower chamber),,,36.8
2017,percentage,german bundestag (lower chamber),,,37.1
2018,percentage,german bundestag (lower chamber),,,30.9
2019,percentage,german bundestag (lower chamber),,,31.2
2020,percentage,german bundestag (lower chamber),,,31.3
2021,percentage,german bundestag (lower chamber),,,31.5
2022,percentage,german bundestag (lower chamber),,,34.9
2010,percentage,bundesrat (upper chamber),,,18.8
2011,percentage,bundesrat (upper chamber),,,24.6
2012,percentage,bundesrat (upper chamber),,,27.5
2013,percentage,bundesrat (upper chamber),,,29.0
2014,percentage,bundesrat (upper chamber),,,34.8
2015,percentage,bundesrat (upper chamber),,,40.6
2016,percentage,bundesrat (upper chamber),,,37.7
2017,percentage,bundesrat (upper chamber),,,39.1
2018,percentage,bundesrat (upper chamber),,,39.1
2019,percentage,bundesrat (upper chamber),,,36.2
2020,percentage,bundesrat (upper chamber),,,34.8
2021,percentage,bundesrat (upper chamber),,,33.3
2022,percentage,bundesrat (upper chamber),,,31.9
2010,percentage,public service,,,50.5
2011,percentage,public service,,,50.2
2012,percentage,public service,,,50.7
2013,percentage,public service,,,51.1
2014,percentage,public service,,,51.5
2015,percentage,public service,,,51.9
2016,percentage,public service,,,52.3
2017,percentage,public service,,,52.6
2018,percentage,public service,,,52.9
2019,percentage,public service,,,53.3
2020,percentage,public service,,,53.6
2021,percentage,public service,,,
2022,percentage,public service,,,
2010,percentage,public service,"political leadership and central administration, foreign affairs",,48.8
2011,percentage,public service,"political leadership and central administration, foreign affairs",,49.2
2012,percentage,public service,"political leadership and central administration, foreign affairs",,49.7
2013,percentage,public service,"political leadership and central administration, foreign affairs",,50.2
2014,percentage,public service,"political leadership and central administration, foreign affairs",,50.5
2015,percentage,public service,"political leadership and central administration, foreign affairs",,50.9
2016,percentage,public service,"political leadership and central administration, foreign affairs",,51.6
2017,percentage,public service,"political leadership and central administration, foreign affairs",,52.1
2018,percentage,public service,"political leadership and central administration, foreign affairs",,52.4
2019,percentage,public service,"political leadership and central administration, foreign affairs",,52.6
2020,percentage,public service,"political leadership and central administration, foreign affairs",,52.9
2021,percentage,public service,"political leadership and central administration, foreign affairs",,
2022,percentage,public service,"political leadership and central administration, foreign affairs",,
2010,percentage,public service,police,,22.7
2011,percentage,public service,police,,22.4
2012,percentage,public service,police,,22.9
2013,percentage,public service,police,,23.3
2014,percentage,public service,police,,23.7
2015,percentage,public service,police,,24.2
2016,percentage,public service,police,,24.8
2017,percentage,public service,police,,25.6
2018,percentage,public service,police,,26.5
2019,percentage,public service,police,,27.4
2020,percentage,public service,police,,28.4
2021,percentage,public service,police,,
2022,percentage,public service,police,,
2010,percentage,public service,"education, science, research, cultural affairs",,60.6
2011,percentage,public service,"education, science, research, cultural affairs",,61.0
2012,percentage,public service,"education, science, research, cultural affairs",,61.4
2013,percentage,public service,"education, science, research, cultural affairs",,61.7
2014,percentage,public service,"education, science, research, cultural affairs",,61.9
2015,percentage,public service,"education, science, research, cultural affairs",,62.2
2016,percentage,public service,"education, science, research, cultural affairs",,62.5
2017,percentage,public service,"education, science, research, cultural affairs",,62.7
2018,percentage,public service,"education, science, research, cultural affairs",,62.8
2019,percentage,public service,"education, science, research, cultural affairs",,63.0
