Year,percentiles,sex,Value
2005,p5,female,
2006,p5,female,1085.0
2007,p5,female,
2005,p10,female,
2006,p10,female,1231.0
2007,p10,female,
2005,p25,female,
2006,p25,female,1501.0
2007,p25,female,
2005,p50,female,
2006,p50,female,1833.0
2007,p50,female,
2005,p75,female,
2006,p75,female,2234.0
2007,p75,female,
2005,p90,female,
2006,p90,female,2678.0
2007,p90,female,
2005,p95,female,
2006,p95,female,3018.0
2007,p95,female,
2005,p5,male,
2006,p5,male,1394.0
2007,p5,male,
2005,p10,male,
2006,p10,male,1585.0
2007,p10,male,
2005,p25,male,
2006,p25,male,1962.0
2007,p25,male,
2005,p50,male,
2006,p50,male,2413.0
2007,p50,male,
2005,p75,male,
2006,p75,male,3024.0
2007,p75,male,
2005,p90,male,
2006,p90,male,3719.0
2007,p90,male,
2005,p95,male,
2006,p95,male,4268.0
2007,p95,male,
