Year,timeseries,type of disease,Value
2010,people requiring interventions against neglected tropical diseases,,720
2011,people requiring interventions against neglected tropical diseases,,437
2012,people requiring interventions against neglected tropical diseases,,740
2013,people requiring interventions against neglected tropical diseases,,1011
2014,people requiring interventions against neglected tropical diseases,,758
2015,people requiring interventions against neglected tropical diseases,,882
2016,people requiring interventions against neglected tropical diseases,,1139
2017,people requiring interventions against neglected tropical diseases,,778
2018,people requiring interventions against neglected tropical diseases,,789
2019,people requiring interventions against neglected tropical diseases,,1327
2020,people requiring interventions against neglected tropical diseases,,375
2021,people requiring interventions against neglected tropical diseases,,212
2010,people requiring interventions against neglected tropical diseases,dengue,595
2011,people requiring interventions against neglected tropical diseases,dengue,288
2012,people requiring interventions against neglected tropical diseases,dengue,616
2013,people requiring interventions against neglected tropical diseases,dengue,878
2014,people requiring interventions against neglected tropical diseases,dengue,625
2015,people requiring interventions against neglected tropical diseases,dengue,725
2016,people requiring interventions against neglected tropical diseases,dengue,956
2017,people requiring interventions against neglected tropical diseases,dengue,636
2018,people requiring interventions against neglected tropical diseases,dengue,613
2019,people requiring interventions against neglected tropical diseases,dengue,1176
2020,people requiring interventions against neglected tropical diseases,dengue,205
2021,people requiring interventions against neglected tropical diseases,dengue,60
2010,people requiring interventions against neglected tropical diseases,echinococcosis,123
2011,people requiring interventions against neglected tropical diseases,echinococcosis,147
2012,people requiring interventions against neglected tropical diseases,echinococcosis,119
2013,people requiring interventions against neglected tropical diseases,echinococcosis,132
2014,people requiring interventions against neglected tropical diseases,echinococcosis,131
2015,people requiring interventions against neglected tropical diseases,echinococcosis,157
2016,people requiring interventions against neglected tropical diseases,echinococcosis,181
2017,people requiring interventions against neglected tropical diseases,echinococcosis,141
2018,people requiring interventions against neglected tropical diseases,echinococcosis,176
2019,people requiring interventions against neglected tropical diseases,echinococcosis,150
2020,people requiring interventions against neglected tropical diseases,echinococcosis,170
2021,people requiring interventions against neglected tropical diseases,echinococcosis,152
2010,people requiring interventions against neglected tropical diseases,leprosy,2
2011,people requiring interventions against neglected tropical diseases,leprosy,2
2012,people requiring interventions against neglected tropical diseases,leprosy,5
2013,people requiring interventions against neglected tropical diseases,leprosy,1
2014,people requiring interventions against neglected tropical diseases,leprosy,2
2015,people requiring interventions against neglected tropical diseases,leprosy,0
2016,people requiring interventions against neglected tropical diseases,leprosy,2
2017,people requiring interventions against neglected tropical diseases,leprosy,1
2018,people requiring interventions against neglected tropical diseases,leprosy,0
2019,people requiring interventions against neglected tropical diseases,leprosy,1
2020,people requiring interventions against neglected tropical diseases,leprosy,0
2021,people requiring interventions against neglected tropical diseases,leprosy,0
2010,inpatient treatment of neglected tropical diseases,,406
2011,inpatient treatment of neglected tropical diseases,,428
2012,inpatient treatment of neglected tropical diseases,,427
2013,inpatient treatment of neglected tropical diseases,,418
2014,inpatient treatment of neglected tropical diseases,,496
2015,inpatient treatment of neglected tropical diseases,,580
2016,inpatient treatment of neglected tropical diseases,,1031
2017,inpatient treatment of neglected tropical diseases,,899
2018,inpatient treatment of neglected tropical diseases,,764
2019,inpatient treatment of neglected tropical diseases,,981
2020,inpatient treatment of neglected tropical diseases,,628
2021,inpatient treatment of neglected tropical diseases,,576
2010,inpatient treatment of neglected tropical diseases,buruli ulcer,30
2011,inpatient treatment of neglected tropical diseases,buruli ulcer,20
2012,inpatient treatment of neglected tropical diseases,buruli ulcer,16
2013,inpatient treatment of neglected tropical diseases,buruli ulcer,30
2014,inpatient treatment of neglected tropical diseases,buruli ulcer,26
2015,inpatient treatment of neglected tropical diseases,buruli ulcer,29
2016,inpatient treatment of neglected tropical diseases,buruli ulcer,28
2017,inpatient treatment of neglected tropical diseases,buruli ulcer,22
2018,inpatient treatment of neglected tropical diseases,buruli ulcer,18
2019,inpatient treatment of neglected tropical diseases,buruli ulcer,22
2020,inpatient treatment of neglected tropical diseases,buruli ulcer,28
2021,inpatient treatment of neglected tropical diseases,buruli ulcer,25
2010,inpatient treatment of neglected tropical diseases,echinococcosis,323
