Year,Units,type of disease,Series,Value
2010,attributable deaths,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,20837
2011,attributable deaths,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,20385
2012,attributable deaths,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,17303
2013,attributable deaths,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,18494
2014,attributable deaths,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,17011
2015,attributable deaths,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,16298
2016,attributable deaths,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,15277
2017,attributable deaths,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,15467
2018,attributable deaths,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,15652
2010,attributable deaths,chronic obstructive pulmonary disease (copd),attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2427
2011,attributable deaths,chronic obstructive pulmonary disease (copd),attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2443
2012,attributable deaths,chronic obstructive pulmonary disease (copd),attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2083
2013,attributable deaths,chronic obstructive pulmonary disease (copd),attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2389
2014,attributable deaths,chronic obstructive pulmonary disease (copd),attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2140
2015,attributable deaths,chronic obstructive pulmonary disease (copd),attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2219
2016,attributable deaths,chronic obstructive pulmonary disease (copd),attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2036
2017,attributable deaths,chronic obstructive pulmonary disease (copd),attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2232
2018,attributable deaths,chronic obstructive pulmonary disease (copd),attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2241
2010,attributable deaths,lung cancer,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,4773
2011,attributable deaths,lung cancer,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,4876
2012,attributable deaths,lung cancer,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,4144
2013,attributable deaths,lung cancer,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,4431
2014,attributable deaths,lung cancer,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,4263
2015,attributable deaths,lung cancer,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,3910
2016,attributable deaths,lung cancer,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,3808
2017,attributable deaths,lung cancer,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,3752
2018,attributable deaths,lung cancer,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,3785
2010,attributable deaths,stroke,attributable deaths due to long-term exposure to fine particulate matter(pm2.5) in the population aged 25 years and older by type of disease,2516
