Year,facilities,Value
2010,a) schools with access to electricity,100
2011,a) schools with access to electricity,100
2012,a) schools with access to electricity,100
2013,a) schools with access to electricity,100
2014,a) schools with access to electricity,100
2015,a) schools with access to electricity,100
2016,a) schools with access to electricity,100
2017,a) schools with access to electricity,100
2018,a) schools with access to electricity,100
2019,a) schools with access to electricity,100
2020,a) schools with access to electricity,100
2021,a) schools with access to electricity,100
2022,a) schools with access to electricity,100
2010,e) schools with access to basic drinking water,100
2011,e) schools with access to basic drinking water,100
2012,e) schools with access to basic drinking water,100
2013,e) schools with access to basic drinking water,100
2014,e) schools with access to basic drinking water,100
2015,e) schools with access to basic drinking water,100
2016,e) schools with access to basic drinking water,100
2017,e) schools with access to basic drinking water,100
2018,e) schools with access to basic drinking water,100
2019,e) schools with access to basic drinking water,100
2020,e) schools with access to basic drinking water,100
2021,e) schools with access to basic drinking water,100
2022,e) schools with access to basic drinking water,100
2010,f) schools with access to single-sex basic sanitation facilities,100
2011,f) schools with access to single-sex basic sanitation facilities,100
2012,f) schools with access to single-sex basic sanitation facilities,100
2013,f) schools with access to single-sex basic sanitation facilities,100
2014,f) schools with access to single-sex basic sanitation facilities,100
2015,f) schools with access to single-sex basic sanitation facilities,100
2016,f) schools with access to single-sex basic sanitation facilities,100
2017,f) schools with access to single-sex basic sanitation facilities,100
2018,f) schools with access to single-sex basic sanitation facilities,100
2019,f) schools with access to single-sex basic sanitation facilities,100
2020,f) schools with access to single-sex basic sanitation facilities,100
2021,f) schools with access to single-sex basic sanitation facilities,100
2022,f) schools with access to single-sex basic sanitation facilities,100
2010,g) schools with access to basic handwashing facilities,100
2011,g) schools with access to basic handwashing facilities,100
2012,g) schools with access to basic handwashing facilities,100
2013,g) schools with access to basic handwashing facilities,100
2014,g) schools with access to basic handwashing facilities,100
2015,g) schools with access to basic handwashing facilities,100
2016,g) schools with access to basic handwashing facilities,100
2017,g) schools with access to basic handwashing facilities,100
2018,g) schools with access to basic handwashing facilities,100
2019,g) schools with access to basic handwashing facilities,100
2020,g) schools with access to basic handwashing facilities,100
2021,g) schools with access to basic handwashing facilities,100
2022,g) schools with access to basic handwashing facilities,100
