Year,area of law,Value
2018,area 1: overarching legal frameworks and public life,70
2020,area 1: overarching legal frameworks and public life,70
2022,area 1: overarching legal frameworks and public life,70
2018,area 2: violence against women,83
2020,area 2: violence against women,83
2022,area 2: violence against women,100
2018,area 3: employment and economic benefit,100
2020,area 3: employment and economic benefit,100
2022,area 3: employment and economic benefit,100
2018,area 4: marriage and family,100
2020,area 4: marriage and family,100
2022,area 4: marriage and family,100
