Year,timeseries,Value
2010,oda and oof (commitments) for aid for trade,4659.4
2011,oda and oof (commitments) for aid for trade,3765.5
2012,oda and oof (commitments) for aid for trade,3723.5
2013,oda and oof (commitments) for aid for trade,4928.4
2014,oda and oof (commitments) for aid for trade,7408.7
2015,oda and oof (commitments) for aid for trade,6401.3
2016,oda and oof (commitments) for aid for trade,6683.1
2017,oda and oof (commitments) for aid for trade,6088.5
2018,oda and oof (commitments) for aid for trade,7322.3
2019,oda and oof (commitments) for aid for trade,8248.0
2020,oda and oof (commitments) for aid for trade,8926.9
2010,oda and oof (gross disbursement) for aid for trade,3411.2
2011,oda and oof (gross disbursement) for aid for trade,3132.0
2012,oda and oof (gross disbursement) for aid for trade,2821.4
2013,oda and oof (gross disbursement) for aid for trade,3533.5
2014,oda and oof (gross disbursement) for aid for trade,4424.3
2015,oda and oof (gross disbursement) for aid for trade,5708.3
2016,oda and oof (gross disbursement) for aid for trade,5110.8
2017,oda and oof (gross disbursement) for aid for trade,4833.5
2018,oda and oof (gross disbursement) for aid for trade,5893.8
2019,oda and oof (gross disbursement) for aid for trade,6310.1
2020,oda and oof (gross disbursement) for aid for trade,6792.7
