Year,Value,Series
2010,22601,documents issued for the import and export of protected species
2011,20687,documents issued for the import and export of protected species
2012,21045,documents issued for the import and export of protected species
2013,21364,documents issued for the import and export of protected species
2014,23170,documents issued for the import and export of protected species
2015,23093,documents issued for the import and export of protected species
2016,24248,documents issued for the import and export of protected species
2017,29644,documents issued for the import and export of protected species
2018,31738,documents issued for the import and export of protected species
2019,30397,documents issued for the import and export of protected species
2020,19712,documents issued for the import and export of protected species
2021,24001,documents issued for the import and export of protected species
2010,1365,seizures by authorities concerning the protection of species
2011,1208,seizures by authorities concerning the protection of species
2012,1112,seizures by authorities concerning the protection of species
2013,1105,seizures by authorities concerning the protection of species
2014,852,seizures by authorities concerning the protection of species
2015,1301,seizures by authorities concerning the protection of species
2016,915,seizures by authorities concerning the protection of species
2017,934,seizures by authorities concerning the protection of species
2018,1294,seizures by authorities concerning the protection of species
2019,1444,seizures by authorities concerning the protection of species
2020,1240,seizures by authorities concerning the protection of species
2021,1130,seizures by authorities concerning the protection of species
