Year,Value,Units
2010,0.81,"per 100,000 inhabitants"
2011,0.84,"per 100,000 inhabitants"
2012,0.78,"per 100,000 inhabitants"
2013,0.75,"per 100,000 inhabitants"
2014,0.72,"per 100,000 inhabitants"
2015,0.58,"per 100,000 inhabitants"
2016,0.65,"per 100,000 inhabitants"
2017,0.81,"per 100,000 inhabitants"
2018,0.59,"per 100,000 inhabitants"
2019,0.57,"per 100,000 inhabitants"
2020,0.58,"per 100,000 inhabitants"
2021,0.68,"per 100,000 inhabitants"
2010,651.0,number
2011,671.0,number
2012,626.0,number
2013,603.0,number
2014,583.0,number
2015,470.0,number
2016,536.0,number
2017,669.0,number
2018,493.0,number
2019,470.0,number
2020,479.0,number
2021,564.0,number
