Year,Value,Units
2010,139.9,million eur
2011,93.8,million eur
2012,117.9,million eur
2013,180.2,million eur
2014,198.9,million eur
2015,256.6,million eur
2016,310.9,million eur
2017,380.0,million eur
2018,408.6,million eur
2019,449.8,million eur
2020,1494.2,million eur
2010,188.2,"million usd, constant prices (2020)"
2011,124.8,"million usd, constant prices (2020)"
2012,154.6,"million usd, constant prices (2020)"
2013,231.7,"million usd, constant prices (2020)"
2014,251.1,"million usd, constant prices (2020)"
2015,318.0,"million usd, constant prices (2020)"
2016,380.3,"million usd, constant prices (2020)"
2017,457.8,"million usd, constant prices (2020)"
2018,482.8,"million usd, constant prices (2020)"
2019,520.7,"million usd, constant prices (2020)"
2020,1702.7,"million usd, constant prices (2020)"
