Year,Value,Units,Series
2010,1117240,million passenger-kilometre,passenger transport
2011,1131004,million passenger-kilometre,passenger transport
2012,1135558,million passenger-kilometre,passenger transport
2013,1143475,million passenger-kilometre,passenger transport
2014,1162942,million passenger-kilometre,passenger transport
2015,1180646,million passenger-kilometre,passenger transport
2016,1204775,million passenger-kilometre,passenger transport
2017,1155136,million passenger-kilometre,passenger transport
2018,1161885,million passenger-kilometre,passenger transport
2019,1170186,million passenger-kilometre,passenger transport
2020,921930,million passenger-kilometre,passenger transport
2021,930469,million passenger-kilometre,passenger transport
2010,627882,million tonne-kilometres,freight transport
2011,628083,million tonne-kilometres,freight transport
2012,618179,million tonne-kilometres,freight transport
2013,634973,million tonne-kilometres,freight transport
2014,642604,million tonne-kilometres,freight transport
2015,655708,million tonne-kilometres,freight transport
2016,676893,million tonne-kilometres,freight transport
2017,692578,million tonne-kilometres,freight transport
2018,694963,million tonne-kilometres,freight transport
2019,697942,million tonne-kilometres,freight transport
2020,671760,million tonne-kilometres,freight transport
2021,702360,million tonne-kilometres,freight transport
