Value,Disaggregation combinations using this value,Number of indicators
agreement on sanitary and phytosanitary measures of the world trade organisation,1,1
cartagena protocol,1,1
convention on biological diversity,1,1
convention on international trade in endangered species,1,1
convention on the conservation of migratory species of wild animals,1,1
international convention for the control and management of ship's ballast water and sediments,1,1
international plant protection convention,1,1
ramsar convention,1,1
world heritage convention,1,1
world organisation for animal health,1,1
