Value,Disaggregation combinations using this value,Number of indicators
a) acute respiratory infections,4,1
a) cardiovascular disease,1,1
b) cancer,1,1
b) diarrhoea,4,1
buruli ulcer,1,1
c) diabetes mellitus,1,1
c) intestinal nematode infections,4,1
chronic obstructive pulmonary disease (copd),2,1
d) chronic respiratory disease,1,1
d) protein-energy malnutrition,4,1
dengue,2,1
diabetes mellitus type 2,2,1
dracunculiasis,1,1
echinococcosis,2,1
human african trypanosomiasis,1,1
ischemic heart diseases,2,1
leishmaniases,1,1
leprosy,2,1
lung cancer,2,1
rabies,2,1
stroke,2,1
yaws,1,1
